編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLPKKHPFFBK98CA,1,95.50,住家用,鋼筋混凝土造,107年8月8日,五層,二層 陽台 雨遮
RPTNMLPKKHPFFBK98CA,1,34.13,樓梯間、停車空間,鋼筋混凝土造,107年8月8日,五層,
RPRNMLLKKHPFFDK58CA,,90.58,住家用,鋼筋混凝土造,108年9月9日,五層,二層 陽台
RPRNMLLKKHPFFDK58CA,,35.92,共有部分,鋼筋混凝土造,108年9月9日,五層,
RPQNMLLKKHPFFDK48CA,,84.89,住家用,鋼筋混凝土造,108年9月9日,五層,二層 陽台
RPQNMLLKKHPFFDK48CA,,34.99,共有部分,鋼筋混凝土造,108年9月9日,五層,
RPSNMLMKKHPFFDK78CA,14,221.30,住宅、停車空間,鋼筋混凝土造,94年10月14日,五層,一層 二層 三層 四層 五層 陽台 雨遮
RPWNMLMKKHPFFDK56CA,6,187.68,一般服務業、停車空間,鋼筋混凝土造,102年10月7日,七層,一層 二層 三層 陽台 雨遮
RPPNMLMKKHPFFFK68CA,1,194.79,住家用,鋼筋混凝土造,107年12月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPTNMLNKKHPFFFK56CA,14,189.56,住宅、停車空間,ＲＣ造,95年5月17日,三層,一層 二層 三層 陽台 平台 屋頂突出物 雨遮 地下層
RPSNMLNKKHPFFFK09CA,3,59.51,集合住宅,鋼筋混凝土造,105年12月22日,七層,一層
RPSNMLNKKHPFFFK09CA,3,10.46,樓梯間、水箱、機械室,鋼筋混凝土造,105年12月22日,七層,
RPSNMLNKKHPFFFK09CA,3,42.26,停車空間、防空避難室兼停車空間,鋼筋混凝土造,105年12月22日,七層,
RPSNMLNKKHPFFFK09CA,3,.98,管委會使用空間,鋼筋混凝土造,105年12月22日,七層,
RPQOMLNKKHPFFFK98CA,24,208.97,住家用,鋼筋混凝土造,85年1月29日,四層,一層 二層 三層 四層 見其他登記事項
RPOOMLOKKHPFFFK88CA,3,122.48,集合住宅,鋼筋混凝土造,105年11月11日,十四層,二層 陽台
RPOOMLOKKHPFFFK88CA,3,60.91,管委會使用空間、停車空間、電梯機械室、防空避難室兼停車空間、管理員室、水箱,鋼筋混凝土造,105年11月11日,十四層,
RPOOMLOKKHPFFFK88CA,3,18.49,Ｂ、Ｃ棟樓梯間,鋼筋混凝土造,105年11月11日,十四層,
RPVNMLNKKHPFFFK76CA,1,96.55,集合住宅,鋼筋混凝土造,108年1月14日,十五層,十五層 陽台 雨遮
RPVNMLNKKHPFFFK76CA,1,79.19,管委會,鋼筋混凝土造,108年1月14日,十五層,
RPVNMLNKKHPFFFK76CA,1,21.95,樓梯間,鋼筋混凝土造,108年1月14日,十五層,
RPRNMLNKKHPFFFK98CA,22,61.32,住家用,鋼筋混凝土造,86年8月27日,七層,二層 陽台
RPRNMLNKKHPFFFK98CA,22,10.29,公共設施,鋼筋混凝土造,86年8月27日,,
RPUNMLNKKHPFFDK09CA,4,7.00,共有部分,鋼筋混凝土造,104年7月10日,五層,
RPPNMLOKKHPFFDK68CA,5,72.90,集合住宅,鋼筋混凝土造,103年9月29日,十五層,十五層 陽台 雨遮
RPPNMLOKKHPFFDK68CA,5,15.73,共有部分,鋼筋混凝土造,103年9月29日,十五層,
RPPNMLOKKHPFFDK68CA,5,32.40,共有部分,鋼筋混凝土造,103年9月29日,十五層,
RPSOMLTKKHPFFBK76CA,1,90.62,住家用,鋼筋混凝土造,108年3月18日,十層,三層 陽台
RPSOMLTKKHPFFBK76CA,1,64.01,本共有部分之項目有樓梯間，機房，水箱，管委會空間及停車空間共３５輛等５項。,鋼筋混凝土造,108年3月18日,十層,
