編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKKHPFFAK38CA,水頭寮段,1826.07,非都市： ; 非都市編定：,1,1,全筆移轉,10700002
RPTNMLPKKHPFFBK98CA,文發段,37.83,都市：住,100000,6005,持分移轉,20280000
RPRNMLMKKHPFFDK68CA,大山腳段,873.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,34110001
RPRNMLMKKHPFFDK68CA,大山腳段,873.00,非都市： ; 非都市編定：,1,1,全筆移轉,34110003
RPPNMLOKKHPFFBK48CA,關爺埔段,1660.18,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14000000
RPRNMLLKKHPFFDK58CA,海口段海口小段,38.18,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4066,持分移轉,09290001
RPRNMLLKKHPFFDK58CA,海口段海口小段,2.89,非都市：特定農業區 ; 非都市編定：農牧用地,100000,4066,持分移轉,09300006
RPQNMLMKKHPFFDK58CA,造橋段,1784.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06790003
RPQNMLMKKHPFFDK58CA,造橋段,412.00,非都市：山坡地保育區 ; 非都市編定：暫未編定,1,1,全筆移轉,17280021
RPPNMLMJLHPFFCK38CA,南和段,4254.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03270000
RPPNMLMJLHPFFCK38CA,南和段,296.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03270001
RPPNMLMJLHPFFCK38CA,南和段,281.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03280000
RPPNMLMJLHPFFCK38CA,南和段,548.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03400001
RPPNMLMJLHPFFCK38CA,南和段,252.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03410000
RPQNMLLKKHPFFDK48CA,海口段海口小段,35.69,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,3801,持分移轉,09290001
RPQNMLLKKHPFFDK48CA,海口段海口小段,2.70,非都市：特定農業區 ; 非都市編定：農牧用地,100000,3801,持分移轉,09300006
RPSNMLMKKHPFFDK78CA,文化段,1.66,都市：住,19,1,持分移轉,07540000
RPSNMLMKKHPFFDK78CA,文化段,70.72,都市：住,1,1,全筆移轉,07540017
RPSNMLMKKHPFFDK78CA,文化段,20.78,都市：住,15,1,持分移轉,07540029
RPUNMLMKKHPFFDK98CA,慈裕段,16.68,都市：其他:道路用地,6,1,持分移轉,08630000
RPUNMLMKKHPFFDK98CA,慈裕段,15.07,都市：其他:道路用地,6,1,持分移轉,08640000
RPUNMLMKKHPFFDK98CA,新博愛段,11.22,都市：其他:道路用地,1,1,全筆移轉,07470000
RPUNMLMKKHPFFDK98CA,新博愛段,29.12,都市：其他:道路用地,1,1,全筆移轉,08390000
RPVNMLOKKHPFFDK66CA,龍椅段,321.64,都市：住,1,1,全筆移轉,05800000
RPSNMLMJLHPFFDK78CA,淡文湖段,2579.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01260009
RPWNMLMKKHPFFDK56CA,鹽館前段山子坪小段,94.00,都市：工,1,1,全筆移轉,00370043
RPWNMLMKKHPFFDK56CA,鹽館前段山子坪小段,26.74,都市：工,283,2,持分移轉,00370000
RPPNMLMKKHPFFFK68CA,義民段,95.09,都市：住,1,1,全筆移轉,03190000
RPPNMLMKKHPFFFK68CA,義民段,1.00,都市：其他:道路用地,32636,100,持分移轉,03600000
RPTNMLNKKHPFFFK56CA,湳湖段,93.21,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,150,持分移轉,00250021
RPSNMLNKKHPFFFK09CA,湳湖段,41.22,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,22,持分移轉,00150001
RPQOMLNKKHPFFFK98CA,後湖段,89.69,都市：住,1,1,全筆移轉,02170000
RPPNMLOKKHPFFFK88CA,東庄段,32.09,都市：住,1,1,全筆移轉,15140000
RPOOMLOKKHPFFFK88CA,中央段,33.65,都市：住,100000,1078,持分移轉,06190000
RPUNMLNKKHPFFFK66CA,民族段,86.74,都市：住,2,1,持分移轉,03730000
RPVNMLNKKHPFFFK76CA,光華段,4.61,都市：商,100000,805,持分移轉,11580000
RPVNMLNKKHPFFFK76CA,光華段,12.45,都市：商,100000,805,持分移轉,11590000
RPRNMLNKKHPFFFK98CA,上興段,19.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,251,持分移轉,10800000
RPSNMLLLKHPFFDK78CA,大西段,127.15,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210011
RPSNMLLLKHPFFDK78CA,大西段,129.92,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210012
RPTNMLLLKHPFFDK88CA,西赤崎段,461.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01480000
RPTNMLLLKHPFFDK88CA,西赤崎段,2339.87,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01480008
RPTNMLLLKHPFFDK88CA,西赤崎段,445.22,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01480009
RPQNMLLLKHPFFDK58CA,大西段,792.02,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210014
RPQNMLLLKHPFFDK58CA,大西段,70.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210015
RPQNMLLLKHPFFDK58CA,大西段,48.88,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210016
RPQNMLLLKHPFFDK58CA,大西段,135.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210019
RPQNMLLLKHPFFDK58CA,大西段,215.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210026
RPQNMLLLKHPFFDK58CA,大西段,118.94,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210030
RPQNMLLLKHPFFDK58CA,大西段,115.80,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210032
RPQNMLLLKHPFFDK58CA,大西段,138.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210036
RPQNMLLLKHPFFDK58CA,大西段,135.18,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210038
RPQNMLLLKHPFFDK58CA,大西段,157.75,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210043
RPQNMLLLKHPFFDK58CA,大西段,282.73,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210054
RPQNMLLLKHPFFDK58CA,大西段,12.84,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210060
RPQNMLLLKHPFFDK58CA,大西段,525.44,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210062
RPPNMLTKKHPFFEK66CA,雙連潭段,1515.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,08270038
RPRNMLNKKHPFFDK78CA,東赤崎段,20.18,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,5,1,持分移轉,03680000
RPPNMLOKKHPFFDK68CA,新生段,12.31,都市：商,10000,41,持分移轉,08360000
RPUNMLLLKHPFFDK98CA,大西段,133.40,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210000
RPUNMLLLKHPFFDK98CA,大西段,134.27,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210001
RPUNMLLLKHPFFDK98CA,大西段,110.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210002
RPUNMLLLKHPFFDK98CA,大西段,119.97,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210003
RPUNMLLLKHPFFDK98CA,大西段,144.56,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210004
RPUNMLLLKHPFFDK98CA,大西段,154.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210005
RPUNMLLLKHPFFDK98CA,大西段,118.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210006
RPUNMLLLKHPFFDK98CA,大西段,119.90,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210007
RPUNMLLLKHPFFDK98CA,大西段,121.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210008
RPUNMLLLKHPFFDK98CA,大西段,123.52,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210009
RPUNMLLLKHPFFDK98CA,大西段,125.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210010
RPUNMLLLKHPFFDK98CA,大西段,189.28,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210013
RPUNMLLLKHPFFDK98CA,大西段,131.59,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210017
RPUNMLLLKHPFFDK98CA,大西段,111.07,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210018
RPUNMLLLKHPFFDK98CA,大西段,125.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210020
RPUNMLLLKHPFFDK98CA,大西段,122.42,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210021
RPUNMLLLKHPFFDK98CA,大西段,113.20,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210022
RPUNMLLLKHPFFDK98CA,大西段,109.78,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210023
RPUNMLLLKHPFFDK98CA,大西段,107.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210024
RPUNMLLLKHPFFDK98CA,大西段,106.90,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210025
RPUNMLLLKHPFFDK98CA,大西段,108.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210027
RPUNMLLLKHPFFDK98CA,大西段,112.66,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210028
RPUNMLLLKHPFFDK98CA,大西段,123.54,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210029
RPUNMLLLKHPFFDK98CA,大西段,140.87,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210031
RPUNMLLLKHPFFDK98CA,大西段,165.25,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210033
RPUNMLLLKHPFFDK98CA,大西段,169.05,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210034
RPUNMLLLKHPFFDK98CA,大西段,176.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210035
RPUNMLLLKHPFFDK98CA,大西段,198.53,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210037
RPUNMLLLKHPFFDK98CA,大西段,335.40,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210039
RPUNMLLLKHPFFDK98CA,大西段,132.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210040
RPUNMLLLKHPFFDK98CA,大西段,73.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210041
RPUNMLLLKHPFFDK98CA,大西段,20.14,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210042
RPUNMLLLKHPFFDK98CA,大西段,195.68,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210044
RPUNMLLLKHPFFDK98CA,大西段,129.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210045
RPUNMLLLKHPFFDK98CA,大西段,126.66,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210046
RPUNMLLLKHPFFDK98CA,大西段,143.90,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210047
RPUNMLLLKHPFFDK98CA,大西段,140.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210048
RPUNMLLLKHPFFDK98CA,大西段,92.86,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210049
RPUNMLLLKHPFFDK98CA,大西段,99.28,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210050
RPUNMLLLKHPFFDK98CA,大西段,117.81,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210051
RPUNMLLLKHPFFDK98CA,大西段,187.16,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210052
RPUNMLLLKHPFFDK98CA,大西段,272.01,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210053
RPUNMLLLKHPFFDK98CA,大西段,.41,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210055
RPUNMLLLKHPFFDK98CA,大西段,18.11,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210056
RPUNMLLLKHPFFDK98CA,大西段,44.89,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210057
RPUNMLLLKHPFFDK98CA,大西段,71.68,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210058
RPUNMLLLKHPFFDK98CA,大西段,90.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210059
RPUNMLLLKHPFFDK98CA,大西段,140.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02210061
RPUNMLLLKHPFFDK98CA,大西段,12.61,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02220000
RPUNMLLLKHPFFDK98CA,西赤崎段,1.80,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01480001
RPUNMLLLKHPFFDK98CA,西赤崎段,28.47,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01480002
RPUNMLLLKHPFFDK98CA,西赤崎段,139.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01480003
RPUNMLLLKHPFFDK98CA,西赤崎段,158.47,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01480004
RPUNMLLLKHPFFDK98CA,西赤崎段,147.46,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01480005
