鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市福麗里28鄰自治路293巷19號5樓之1,47.18,住,,,1090218,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030710,145.94,3,2,2,有,有,有,17000,116,一樓平面,0.0,0,,RPRNMLTKKHPFFBK76CC
頭份市,房地(土地+建物),苗栗縣頭份市建國路177號1樓,191.62,住,,,1090215,土地2建物1車位0,一層,4,店面(店鋪),住商用,見其他登記事項,0960927,121.0,0,0,0,無,無,無,36000,298,,0.0,0,,RPRNMLKLKHPFFFK98CC
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里府前路84號1樓,88.33,住,,,1090228,土地1建物0車位0,,,店面(店鋪),,,,152.37,0,0,1,有,無,無,18000,118,,0.0,0,,RPPNMLMJLHPFFBK48CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮環市路一段1423號,16.4,住,,,1090111,土地1建物0車位0,見其他登記事項,,店面(店鋪),,,,176.47,3,2,3,有,有,無,12000,68,,0.0,0,,RPPNMLQJLHPFFDK09CC
苗栗市,房地(土地+建物),苗栗縣苗栗市縣府路110號7樓,15.43,住,,,1090307,土地1建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881206,95.42,3,2,2,有,有,有,9000,94,,0.0,0,,RPUNMLKLLHPFFBK98CC
苗栗市,房地(土地+建物),苗栗縣苗栗市莊敬街43之3號,29.62,住,,,1090306,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701020,89.4,3,2,2,有,無,有,10000,112,,0.0,0,,RPVNMLKLLHPFFBK09CC
頭份市,房地(土地+建物),苗栗縣頭份市文化街32巷75弄2號,108.45,住,,,1090301,土地2建物1車位0,全,3,透天厝,住家用,見其他登記事項,1000628,218.39,4,2,3,有,無,無,20000,92,,0.0,0,,RPQNMLRLLHPFFFK07CC
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里34鄰忠孝路138號5樓,28.36,住,,,1090414,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760603,90.16,2,2,2,有,無,有,10000,111,,0.0,0,,RPPNMLMLMHPFFBK78CC
頭份市,房地(土地+建物),苗栗縣頭份市後庄里7鄰公北三路126號13樓,573.07,商,,,1090321,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080114,118.74,3,2,2,有,無,有,18000,152,,0.0,0,,RPOOMLSLMHPFFFK17CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮南寶街47號四樓,18.3,住,,,1090430,土地2建物2車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810916,110.31,3,2,2,有,有,有,10000,91,,0.0,0,,RPPNMLPJNHPFFDK56CC
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大厝里1鄰環市路二段74號,19.55,住,,,1090421,土地1建物0車位0,見其他登記事項,16,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830521,113.82,1,1,2,有,無,無,10000,88,,0.0,0,,RPRNMLQJNHPFFDK96DC
頭份市,土地,東庄段347地號,1634.73,住,,,1090501,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,110000,67,,0.0,0,,RPVNMLSJNHPFFFK67CC
