編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLKLKHPFFFK98CC,成功段,96.96,都市：住,,,,04880000
RPRNMLKLKHPFFFK98CC,成功段,94.66,都市：住,,,,04890000
RPRNMLTKKHPFFBK76CC,巨蛋段,47.18,都市：住,,,,06460000
RPUNMLKLLHPFFBK98CC,苗栗段,15.43,都市：住,,,,08390000
RPPNMLMJLHPFFBK48CC,苗栗段,88.33,都市：住,,,,12870000
RPOOMLSLMHPFFFK17CC,光華段,573.07,都市：商,,,,11580000
RPPNMLMLMHPFFBK78CC,苗栗段,28.36,都市：住,,,,11510000
RPPNMLQJLHPFFDK09CC,,16.40,都市：住,,,,10680000
RPVNMLKLLHPFFBK09CC,苗栗段,29.62,都市：住,,,,10740000
RPQNMLRLLHPFFFK07CC,文化段,96.76,都市：住,,,,12130000
RPQNMLRLLHPFFFK07CC,文化段,11.69,都市：住,,,,11910000
RPRNMLQJNHPFFDK96DC,新博愛段,19.55,都市：住,,,,10000000
RPVNMLSJNHPFFFK67CC,東庄段,216.00,都市：住,,,,05430000
RPVNMLSJNHPFFFK67CC,東庄段,7.00,都市：住,,,,05400000
RPVNMLSJNHPFFFK67CC,東庄段,1139.00,都市：住,,,,05390000
RPVNMLSJNHPFFFK67CC,東庄段,1.00,都市：住,,,,05450000
RPVNMLSJNHPFFFK67CC,東庄段,7.03,都市：住,,,,03200000
RPVNMLSJNHPFFFK67CC,東庄段,90.07,都市：住,,,,03460000
RPVNMLSJNHPFFFK67CC,東庄段,174.63,都市：住,,,,03470000
RPPNMLPJNHPFFDK56CC,新博愛段,8.70,都市：住,,,,13130000
RPPNMLPJNHPFFDK56CC,新博愛段,9.60,都市：住,,,,13140000
