鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南投市,土地,新段180地號,1544.74,住,,,1081225,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000000,38841,,0.0,0,,RPTNMLRKKHPFFAM66CA,0.0,0.0,0.0,,
南投市,土地,新生段796地號,1138.0,農,,,1081218,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7920000,6960,,0.0,0,,RPUNMLRLKHPFFAM86CA,0.0,0.0,0.0,,
南投市,房地(土地+建物),南投縣南投市南新路192巷17號,90.07,住,,,1090110,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850105,193.6,5,3,4,有,無,7300000,37707,,0.0,0,,RPVNMLRLKHPFFAM96CA,162.07,3.08,28.45,,
草屯鎮,房地(土地+建物),南投縣草屯鎮芬草路二段172之1號七樓之1,33.05,,鄉村區,乙種建築用地,1081204,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051229,168.7,3,2,2,有,有,6800000,40308,,0.0,0,,RPQNMLMKKHPFFBM58CA,78.34,3.39,9.71,,
草屯鎮,土地,大堀段63地號,461.97,,特定農業區,農牧用地,1081224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1530000,3312,,0.0,0,,RPRNMLMKKHPFFBM68CA,0.0,0.0,0.0,,
草屯鎮,房地(土地+建物),南投縣草屯鎮坪?~巷3之18號,90.07,,鄉村區,乙種建築用地,1090112,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040327,168.71,4,3,3,有,有,8600000,50975,,0.0,0,,RPRNMLMLKHPFFBM78CA,161.84,0.0,6.87,,
草屯鎮,房地(土地+建物),南投縣草屯鎮富林路一段２４３巷２２號,119.38,住,,,1090102,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0791226,140.09,3,2,2,有,無,6360000,45399,,0.0,0,,RPVNMLNKKHPFFBM56CA,134.49,0.0,5.6,,
草屯鎮,土地,北投埔段897地號,1064.0,,特定農業區,農牧用地,1081224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5150000,4840,,0.0,0,,RPTNMLNJLHPFFBM98CA,0.0,0.0,0.0,,
草屯鎮,土地,北勢段875-3地號,245.06,,鄉村區,乙種建築用地,1081230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,816,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLOJLHPFFBM78CA,0.0,0.0,0.0,,
埔里鎮,土地,水尾段712-1地號,2100.0,,特定農業區,農牧用地,1081224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3950000,1881,,0.0,0,,RPQNMLMKKHPFFCM68CA,0.0,0.0,0.0,,
埔里鎮,土地,竹圍段514地號,1160.75,,特定農業區,農牧用地,1090118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,6461,,0.0,0,含增建或未登記建物。；,RPOOMLMKKHPFFCM58CA,0.0,0.0,0.0,,
埔里鎮,房地(土地+建物),南投縣埔里鎮民族四街７８巷１號,268.0,住,,,1090113,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0751203,257.98,6,4,3,有,無,10600000,41088,,0.0,0,含增建或未登記建物。；,RPVNMLOLKHPFFCM86CA,257.98,0.0,0.0,,
埔里鎮,房地(土地+建物),南投縣埔里鎮中正路264號,70.07,住,,,1081029,土地2建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土造,0681122,137.58,5,3,3,有,無,13000000,94490,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPPOMLOJLHPFFCM88CA,137.58,0.0,0.0,,
竹山鎮,土地,南雲段123地號,168.96,,特定農業區,農牧用地,1090120,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,93000,550,,0.0,0,親友、員工或其他特殊關係間之交易。；共有人承買，無臨路。,RPPNMLMKKHPFFDM68CA,0.0,0.0,0.0,,
鹿谷鄉,土地,新和段462地號,158.15,住,,,1090116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,32880,,0.0,0,本件含未辦建物登記之房屋一棟.,RPRNMLSKKHPFFDM86CA,0.0,0.0,0.0,,
竹山鎮,房地(土地+建物),南投縣竹山鎮延正路５３之１９號,138.57,,鄉村區,乙種建築用地,1081218,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1061024,190.24,4,3,3,有,無,8500000,44680,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLKLKHPFFDM98CA,183.38,0.0,6.86,,
竹山鎮,土地,前山段440-5地號,2075.07,,特定農業區,甲種建築用地,1090119,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12500000,6024,,0.0,0,,RPTNMLNKKHPFFDM56CA,0.0,0.0,0.0,,
