編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLOLLHPFFCM76CA,坡道平面,0,,
RPQOMLTKLHPFFDM07CA,一樓平面,0,12.00,
RPROMLTKLHPFFDM17CA,一樓平面,0,12.00,
RPPOMLTKLHPFFDM96CA,一樓平面,0,12.00,
RPQNMLTKLHPFFDM96CA,一樓平面,0,12.00,
RPRNMLTKLHPFFDM07CA,一樓平面,0,12.00,
RPWNMLNJLHPFFAM56CA,坡道機械,0,,
RPTNMLTKLHPFFDM27CA,一樓平面,0,12.00,
RPUNMLPJLHPFFCM76CA,升降機械,0,,
RPUNMLOLLHPFFCM86CA,一樓平面,0,,
RPPNMLTKLHPFFBM66CA,坡道平面,0,33.40,
RPUNMLTKLHPFFDM37CA,一樓平面,0,12.00,
RPWNMLTKLHPFFDM57CA,一樓平面,0,12.00,
RPVNMLTKLHPFFDM47CA,一樓平面,0,12.00,
RPXNMLTKLHPFFDM67CA,一樓平面,0,12.00,
RPPNMLSKLHPFFBM56CA,其他,0,33.01,
RPQNMLTJMHPFFBM76CA,坡道平面,320000,12.18,
RPRNMLPLLHPFFBM56CA,一樓平面,0,,
RPVNMLRLLHPFFBM17CA,坡道機械,0,,
RPOOMLTKLHPFFDM86CA,一樓平面,0,12.00,
RPTNMLPLLHPFFCM86CA,坡道平面,0,,
RPPNMLKMLHPFFDM78CA,一樓平面,0,12.00,
RPUNMLOKMHPFFAM66CA,坡道平面,0,,
RPPNMLRLMHPFFCM76CA,坡道平面,0,,
RPTOMLRKMHPFFAM96CA,一樓平面,0,,
RPSNMLTLMHPFFBM17CA,坡道平面,0,27.21,
RPQNMLQJNHPFFBM56CA,坡道機械,0,,
RPQNMLQJNHPFFBM56CA,坡道機械,0,,
RPSNMLNLMHPFFAM09CA,一樓平面,0,,
RPOPMLOJNHPFFAM88CA,坡道機械,0,,
RPUNMLTKNHPFFCM47CA,坡道平面,0,13.50,
RPTNMLPLNHPFFAM86CA,坡道平面,0,,
