鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南投市,房地(土地+建物)+車位,南投縣南投市南新路360號一樓之3,27.72,住,,,1061212,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.98,2,2,2,有,無,5400000,58337,坡道機械,12.7,600000,,RPSNMLKMMHPFFAM98CB
南投市,房地(土地+建物)+車位,南投縣南投市南新路360號4樓之1,31.99,住,,,1070414,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.52,2,2,2,有,無,6320000,59595,坡道機械,12.7,550000,,RPRNMLLJNHPFFAM78CB
南投市,房地(土地+建物)+車位,南投縣南投市南新路360號4樓之2,32.13,住,,,1070411,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.02,2,2,2,有,無,6340000,59494,坡道機械,12.7,550000,,RPTNMLLJNHPFFAM98CB
南投市,房地(土地+建物)+車位,南投縣南投市南新路360號4樓之5,30.72,住,,,1070613,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.29,2,2,2,有,無,6100000,59917,坡道平面,23.51,1200000,,RPXNMLLJNHPFFAM76CB
南投市,房地(土地+建物)+車位,南投縣南投市南新路360號5樓之1,31.99,住,,,1061218,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.52,2,2,2,有,無,6300000,58356,坡道機械,12.7,650000,,RPQOMLLJNHPFFAM78CB
南投市,房地(土地+建物)+車位,南投縣南投市南新路360號5樓之5,30.72,住,,,1080227,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.29,2,2,2,有,無,5790000,57349,坡道平面,23.51,1100000,108.02.27換約價579萬。,RPXNMLOJNHPFFAM07CB
南投市,房地(土地+建物)+車位,南投縣南投市南新路360號5樓之3,27.56,住,,,1061227,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.38,2,2,2,有,無,5440000,59868,坡道機械,12.7,550000,,RPTOMLOJNHPFFAM76CB
南投市,房地(土地+建物)+車位,南投縣南投市南新路360號4樓之3,27.55,住,,,1061209,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,94.38,2,2,2,有,無,5120000,55950,坡道機械,12.7,550000,108.10.31換約價518萬。,RPSNMLPJNHPFFAM66CB
南投市,房地(土地+建物)+車位,南投縣南投市南新路360號6樓之2,32.13,住,,,1061202,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.02,2,2,2,有,無,6330000,58364,坡道機械,12.7,650000,108.10.02換約價650萬。,RPVNMLPJNHPFFAM96CB
