編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLLJNHPFFAM76CB,新?段,30.72,都市：住,100000,3784,持分移轉,07670005
RPSNMLKMMHPFFAM98CB,新?段,27.72,都市：住,100000,3414,持分移轉,07670005
RPRNMLLJNHPFFAM78CB,新?段,31.99,都市：住,100000,3940,持分移轉,07670005
RPQOMLLJNHPFFAM78CB,新?段,31.99,都市：住,100000,3940,持分移轉,07670005
RPTNMLLJNHPFFAM98CB,新?段,32.13,都市：住,100000,3957,持分移轉,07670005
RPXNMLQJNHPFFAM27CB,新?段,32.13,都市：住,100000,3957,持分移轉,07670005
RPXNMLOJNHPFFAM07CB,新?段,30.72,都市：住,100000,3784,持分移轉,07670005
RPVNMLPJNHPFFAM96CB,新?段,32.13,都市：住,100000,3957,持分移轉,07670005
RPSNMLPJNHPFFAM66CB,新?段,27.55,都市：住,100000,3393,持分移轉,07670005
RPQNMLRJNHPFFAM66CB,新?段,32.13,都市：住,100000,3957,持分移轉,07670005
RPTOMLOJNHPFFAM76CB,新?段,27.56,都市：住,100000,3394,持分移轉,07670005
RPSNMLRJNHPFFAM86CB,新?段,32.13,都市：住,100000,3957,持分移轉,07670005
RPQNMLSJNHPFFAM76CB,新?段,32.27,都市：住,100000,3974,持分移轉,07670005
RPPNMLSJNHPFFAM66CB,新?段,27.15,都市：住,100000,3344,持分移轉,07670005
RPOOMLSJNHPFFAM66CB,新?段,27.55,都市：住,100000,3393,持分移轉,07670005
RPWNMLSJNHPFFAM37CB,新?段,27.58,都市：住,100000,3397,持分移轉,07670005
RPXNMLSJNHPFFAM47CB,新?段,31.99,都市：住,100000,3940,持分移轉,07670005
RPRNMLSJNHPFFAM86CB,新?段,27.28,都市：住,100000,3360,持分移轉,07670005
RPTNMLSJNHPFFAM07CB,新?段,31.99,都市：住,100000,3940,持分移轉,07670005
RPSNMLSJNHPFFAM96CB,新?段,27.58,都市：住,100000,3397,持分移轉,07670005
RPUNMLSJNHPFFAM17CB,新?段,32.13,都市：住,100000,3957,持分移轉,07670005
RPROMLSJNHPFFAM96CB,新?段,35.27,都市：住,100000,4344,持分移轉,07670005
RPSOMLSJNHPFFAM07CB,新?段,27.55,都市：住,100000,3393,持分移轉,07670005
RPVNMLSJNHPFFAM27CB,新?段,27.55,都市：住,100000,3393,持分移轉,07670005
RPPOMLSJNHPFFAM76CB,新?段,27.58,都市：住,100000,3397,持分移轉,07670005
RPTOMLSJNHPFFAM17CB,新?段,27.58,都市：住,100000,3397,持分移轉,07670005
RPQOMLSJNHPFFAM86CB,新?段,31.99,都市：住,100000,3940,持分移轉,07670005
