鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鹿港鎮,土地,上林段495-1地號,7466.78,工,工業區,丁種建築用地,1090117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,680000,91,,0.0,0,含增建或未登記建物。；,RPQNMLLKKHPFFCN88CC
員林市,房地(土地+建物),彰化縣員林市靜修路83號,78.0,住,,,1090211,土地1建物0車位0,,4,店面(店鋪),住商用,鋼筋混凝土造,0780401,204.82,4,2,3,有,無,無,30000,146,,0.0,0,,RPOSMLMKKHPFFDN76CC
彰化市,建物,彰化縣彰化市崙美路２４０巷２５之９號,0.0,住,,,1090120,土地1建物1車位0,全,4,透天厝,住宅、停車空間,鋼筋混凝土造,1080312,195.15,4,2,3,有,無,無,19500,100,一樓平面,0.0,0,,RPROMLOKKHPFFAN56CC
二林鎮,房地(土地+建物),彰化縣二林鎮裕民街10號9樓之2,1576.71,住,,,1090215,土地1建物0車位0,,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0840812,75.73,2,2,2,有,有,無,8000,106,,0.0,0,,RPTNMLRKKHPFFGN57CC
彰化市,土地,三民段889地號,72.0,商,,,1090221,土地1建物0車位0,,,其他,,,,0.0,2,0,0,有,無,無,26000,361,,0.0,0,建物無保存,RPWNMLRLKHPFFAN47DC
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮長青街168號,147.0,住,,,1090301,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1010323,304.76,6,2,4,有,無,無,15000,49,,0.0,0,,RPRNMLQJLHPFFHN37CC
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉埔菜路29之42號,69.0,,特定農業區,甲種建築用地,1090301,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1081121,102.38,3,3,2,有,無,有,13500,132,,0.0,0,,RPSNMLQJLHPFFHN47CC
秀水鄉,房地(土地+建物),彰化縣秀水鄉永興巷55弄20號,55.0,,特定農業區,甲種建築用地,1090210,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0861222,145.0,3,2,3,有,無,無,9000,62,,0.0,0,,RPROMLQJLHPFFAN76CC
鹿港鎮,土地,鹿德段319地號,330.11,住,,,1090306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,25000,76,,0.0,0,,RPQNMLTJLHPFFCN07CC
員林市,房地(土地+建物),彰化縣員林市員鹿路26號5樓之8,4.37,商,,,1090227,土地1建物0車位0,,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870312,32.68,1,0,1,有,有,無,6500,199,,0.0,0,,RPUNMLLKLHPFFDN86CC
