編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLMKKHPFFAO09CC,虎山段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07950000
RPRPMLLKKHPFFAO56DC,東明段,.00,都市：其他:科技商務區,,,,03800000
RPOPMLMKKHPFFAO88CC,南門段一小段,.00,都市：住,,,,00980000
RPOPMLMKKHPFFAO88CC,南門段一小段,.00,都市：住,,,,00980003
RPOPMLMKKHPFFAO88CC,南門段一小段,.00,都市：住,,,,00980005
RPRPMLMKKHPFFAO56CC,光華段,.00,都市：住,,,,02410000
RPPPMLMKKHPFFAO98CC,聚吉段,.00,都市：住,,,,00550000
RPWPMLTKKHPFFAO77CC,海埔段,3393.01,非都市：特定農業區 ; 非都市編定：農牧用地,,,,05720008
RPVOMLTKKHPFFAO57CC,西門段二小段,12.86,都市：商,,,,00530000
RPWPMLRKKHPFFAO57CC,光武段,.00,都市：商,,,,10500000
RPTNMLSKKHPFFAO17CC,中央段,.00,都市：商,,,,04600000
RPUPMLOKKHPFFAO07CC,光華段,.00,都市：住,,,,02600000
RPWOMLSKKHPFFAO57CC,自由段,.00,都市：住,,,,09250000
RPRSMLNKKHPFFAO96CC,中隘段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,02970000
RPSQMLMKKHPFFAO76CC,自由段,56.00,都市：住,,,,10580005
RPUOMLNKKHPFFAO86CC,長春段,.00,都市：住,,,,15960000
RPTNMLLLKHPFFAO56CC,國道段,43.24,都市：商,,,,10350000
RPTQMLMKKHPFFAO86CC,虎山段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07950000
RPRPMLKLKHPFFAO09CC,東明段,.00,都市：住,,,,08920000
RPVNMLLLKHPFFAO76CC,光復段,.00,都市：住,,,,02310000
RPOQMLMJLHPFFAO98CC,建華段,.00,都市：住,,,,02110000
RPPQMLMJLHPFFAO09CC,竹蓮段,.00,都市：商,,,,09900002
RPSNMLQLKHPFFAO96CC,介壽段,.00,都市：住,,,,04220000
RPXPMLMJLHPFFAO17CC,科學段一小段,.00,都市：住,,,,04080000
