編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPKKHPFFCQ66CA,水頭段,95.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08470000
RPXNMLNKKHPFFCQ27CA,溪東段,95.59,都市：商,1,1,全筆移轉,07360006
RPPNMLPKKHPFFBQ56CA,?菜埔段永和小段,183.08,非都市：特定農業區 ; 非都市編定：農牧用地,538960,113027,持分移轉,00520000
RPPNMLPKKHPFFBQ56CA,?菜埔段永和小段,124.63,非都市：特定農業區 ; 非都市編定：農牧用地,13474,973,持分移轉,00530000
RPQNMLNKKHPFFCQ56CA,世興段,.76,都市：住,10000,40,持分移轉,08510001
RPQNMLNKKHPFFCQ56CA,世興段,29.64,都市：住,10000,40,持分移轉,08570001
RPRNMLOKKHPFFCQ76CA,公園段,210.00,都市：其他:道路用地,1,1,全筆移轉,03450001
RPWNMLNKKHPFFCQ17CA,本廳段,1404.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03170002
RPQOMLTKKHPFFCQ27CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,20370009
RPQOMLTKKHPFFCQ27CA,秀林段,77.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20370016
RPSOMLTKKHPFFCQ47CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,20370009
RPSOMLTKKHPFFCQ47CA,秀林段,78.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20370015
RPVOMLTKKHPFFCQ77CA,秀林段,93.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20370005
RPVOMLTKKHPFFCQ77CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,20370009
RPXNMLKLKHPFFCQ07CA,秀林段,83.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20370002
RPXNMLKLKHPFFCQ07CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,20370009
RPUOMLTKKHPFFCQ67CA,秀林段,79.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20370001
RPUOMLTKKHPFFCQ67CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,20370009
RPWOMLTKKHPFFCQ87CA,秀林段,82.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20370006
RPWOMLTKKHPFFCQ87CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,20370009
RPXOMLTKKHPFFCQ97CA,秀林段,81.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20370007
RPXOMLTKKHPFFCQ97CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,20370009
RPWNMLSJLHPFFCQ67CA,北斗段,94.82,都市：商,1,1,全筆移轉,03630012
RPWNMLSJLHPFFCQ67CA,北斗段,23.75,都市：商,15,1,持分移轉,03630011
RPWNMLKLKHPFFCQ96CA,秀林段,35.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,2,持分移轉,20370009
RPWNMLKLKHPFFCQ96CA,秀林段,163.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20370010
RPOOMLKLKHPFFCQ88CA,秀林段,83.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20370003
RPOOMLKLKHPFFCQ88CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,20370009
RPPOMLKLKHPFFCQ98CA,秀林段,95.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20370004
RPPOMLKLKHPFFCQ98CA,秀林段,17.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,26,1,持分移轉,20370009
RPUNMLOLKHPFFCQ17CA,新庄段,469.91,都市：農,1,1,全筆移轉,25850000
RPUNMLOLKHPFFCQ17CA,新庄段,3395.46,都市：農,1,1,全筆移轉,25860000
RPXNMLSJLHPFFCQ77CA,北斗段,103.73,都市：商,1,1,全筆移轉,03630003
RPXNMLSJLHPFFCQ77CA,北斗段,23.75,都市：商,15,1,持分移轉,03630011
RPSNMLMKKHPFFDQ76CA,佳興段,8.82,都市：住,1,1,全筆移轉,01290000
RPSNMLMKKHPFFDQ76CA,佳興段,89.68,都市：住,1,1,全筆移轉,01300000
RPWOMLOKKHPFFDQ47CA,新大崙段,120.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08910000
RPVOMLOKKHPFFDQ37CA,柳林段,73.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08250000
RPWNMLLKKHPFFDQ07CA,過溝段過溝小段,81.00,都市：住,1,1,全筆移轉,10790015
RPQNMLRLKHPFFDQ17CA,埔心段,408.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02010001
RPPOMLLJLHPFFDQ09CA,嘉新段,88.48,都市：住,1,1,全筆移轉,04300000
RPQNMLNKKHPFFEQ76CA,內甕段,20.00,都市：住,1,1,全筆移轉,00580001
