編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSPMLKKLHPFFDQ86CA,一樓平面,0,,
RPXPMLKKLHPFFDQ37CA,一樓平面,0,,
RPRQMLKKLHPFFDQ86CA,一樓平面,0,,
RPPQMLKKLHPFFDQ66CA,一樓平面,0,,
RPRRMLKKLHPFFDQ96CA,一樓平面,0,,
RPQRMLKKLHPFFDQ86CA,一樓平面,0,,
RPPRMLKKLHPFFDQ76CA,一樓平面,0,,
RPSRMLKKLHPFFDQ07CA,一樓平面,0,,
RPORMLKKLHPFFDQ66CA,一樓平面,0,,
RPWQMLKKLHPFFDQ37CA,一樓平面,0,,
RPTQMLKKLHPFFDQ07CA,一樓平面,0,,
RPXQMLKKLHPFFDQ47CA,一樓平面,0,,
RPUQMLKKLHPFFDQ17CA,一樓平面,0,,
RPVQMLKKLHPFFDQ27CA,一樓平面,0,,
RPTRMLKKLHPFFDQ17CA,一樓平面,0,,
RPURMLKKLHPFFDQ27CA,一樓平面,0,,
RPVRMLKKLHPFFDQ37CA,一樓平面,0,,
RPPNMLRKLHPFFCQ96CA,一樓平面,0,,
RPXRMLKKLHPFFDQ57CA,一樓平面,0,,
RPPNMLPLKHPFFCQ76CA,其他,0,,
RPRNMLLKLHPFFBQ09CA,升降機械,0,,
RPPNMLNKLHPFFDQ76DA,坡道平面,0,,
RPPNMLTJLHPFFBQ07DA,坡道平面,0,,
RPVNMLMKLHPFFBQ96CA,坡道機械,0,,
RPPNMLNJMHPFFCQ56CA,坡道機械,0,,
RPQNMLLLMHPFFDQ76CA,一樓平面,0,,
RPRNMLLLMHPFFDQ86CA,一樓平面,0,,
RPSNMLLLMHPFFDQ96CA,一樓平面,0,,
RPTNMLLLMHPFFDQ07CA,一樓平面,0,,
RPUNMLRJMHPFFCQ47CA,升降機械,0,,
RPTNMLRKMHPFFBQ47DA,一樓平面,0,,
RPTNMLOJNHPFFCQ17CA,一樓平面,0,,
RPVNMLNKNHPFFBQ27CA,坡道平面,0,,
RPQOMLTKNHPFFCQ57CA,坡道機械,0,,
RPQNMLSKNHPFFDQ47CA,一樓平面,0,,
RPQNMLSKNHPFFDQ47CA,一樓平面,0,,
RPPOMLLKNHPFFDQ76CA,一樓平面,0,,
RPPNMLQLNHPFFBQ07CA,坡道平面,0,,
RPPOMLOJNHPFFCQ86CA,一樓平面,0,,
RPPNMLLKNHPFFBQ09CA,坡道平面,0,,
RPRNMLTKNHPFFDQ77DA,坡道平面,550000,28.94,
