鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
屏東市,房地(土地+建物),屏東縣屏東市華正路5號1樓,89.0,住,,,1090131,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0781018,55.28,1,1,1,有,無,無,16000,289,,0.0,0,,RPQOMLLKKHPFFAT76CC
內埔鄉,建物,屏東縣內埔鄉康寧路248號,0.0,住,,,1090130,土地1建物0車位0,全,2,透天厝,住家用,加強磚造,0670915,112.4,3,2,2,有,無,無,11000,98,,0.0,0,屏東縣政府包租代管計畫,RPRNMLLKKHPFFCT96CC
屏東市,建物,屏東縣屏東市公裕街223巷12之3號,0.0,住,,,1090212,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0720510,81.45,3,2,1,有,無,有,10000,123,,0.0,0,屏東縣政府包租代管計畫,RPUNMLOKKHPFFAT37CC
屏東市,建物,屏東縣屏東市自由路95號3樓之3,0.0,住,,,1090219,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720906,45.980000000000004,1,1,1,有,無,有,4500,98,,0.0,0,,RPPNMLKLKHPFFAT56CC
屏東市,建物,屏東縣屏東市自由路95號3樓之5,0.0,住,,,1090219,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720906,45.980000000000004,1,1,1,有,無,有,4500,98,,0.0,0,,RPRNMLKLKHPFFAT76CC
屏東市,建物,屏東縣屏東市公裕街195巷12弄10之4號,0.0,住,,,1090221,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0701221,74.45,3,2,1,有,無,有,6000,81,,0.0,0,,RPTPMLLLKHPFFAT27CC
屏東市,房地(土地+建物),屏東縣屏東市工業路7號,4814.0,工,,,1090224,土地2建物0車位0,見其他登記事項,1,工廠,倉庫,鋼造,0691226,2188.61,0,0,0,無,無,無,180000,,,0.0,0,,RPUNMLMJLHPFFAT17CC
屏東市,房地(土地+建物)+車位,屏東縣屏東市機場北路570號8樓,8.69,住,,,1090227,土地1建物2車位1,八層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881204,85.55,2,1,1,有,無,有,12000,140,其他,0.0,0,,RPROMLNJLHPFFAT17DC
內埔鄉,建物,屏東縣內埔鄉永興二巷23號,0.0,,鄉村區,乙種建築用地,1090303,土地1建物0車位0,全,4,透天厝,住宅,鋼筋混凝土構造,0820807,169.38,4,2,3,有,有,無,9000,53,,0.0,0,屏東縣政府包租代管計畫,RPQOMLOJLHPFFCT27CC
屏東市,房地(土地+建物),屏東縣屏東市公治一街5之4號,15.13,住,,,1090301,土地1建物0車位0,,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730804,106.10000000000001,3,2,2,有,無,無,7000,66,,0.0,0,,RPVOMLPJLHPFFAT67CC
屏東市,土地,和平段430地號,139.0,住,,,1090303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,26000,187,,0.0,0,含增建或未登記建物。；,RPUNMLQJLHPFFAT67DC
