編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLOKKHPFFAX47DA,馬公段,45.00,非都市： ; 非都市編定：,1,1,全筆移轉,15020001
RPSNMLOKKHPFFAX47DA,馬公段,10.67,非都市： ; 非都市編定：,3,1,持分移轉,15020000
RPQNMLNKKHPFFAX17DA,港子新段,44.69,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08250000
RPTNMLOKKHPFFAX57DA,興崁段,643.32,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12030000
RPXNMLOKKHPFFAX87CA,機場段,960.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10820000
RPXNMLOKKHPFFAX87CA,機場段,804.17,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10890000
RPWNMLOKKHPFFAX77CA,吉貝東段,1916.32,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09640000
RPRNMLMKKHPFFAX07CA,五福段,183.72,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05010006
RPRNMLMKKHPFFAX07CA,五福段,45.86,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉,05010009
RPQNMLPKKHPFFAX27CA,北澳段,218.53,非都市：一般農業區 ; 非都市編定：農牧用地,60,27,持分移轉,05720000
RPPNMLQLKHPFFAX37CA,興崁段,57.04,非都市：一般農業區 ; 非都市編定：交通用地,459,57,持分移轉,05350004
RPPNMLQLKHPFFAX37CA,興崁段,171.01,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05350005
RPUNMLOKKHPFFAX57CA,國宅段,347.58,非都市： ; 非都市編定：,1,1,全筆移轉,03140000
RPQNMLSKKHPFFAX67DA,赤崁南段,1311.92,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01990000
RPPNMLTKKHPFFAX67DA,?裡新段,299.50,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05020000
RPUNMLRKKHPFFAX87CA,文東段,12.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02810002
RPXNMLPLKHPFFAX08CA,五福段,262.38,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,07960000
RPTNMLTKKHPFFAX97CA,鎮海新段,5.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,64,1,持分移轉,02720000
RPVNMLPLKHPFFAX87CA,四維段,114.62,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,11950000
RPVNMLTKKHPFFAX18CA,興崁段,33.34,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,07640001
RPWNMLTKKHPFFAX28CA,興崁段,42.79,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08260001
RPSNMLRLKHPFFAX77CA,埕東段,56.36,非都市： ; 非都市編定：,1,1,全筆移轉,04840000
RPXNMLTKKHPFFAX38CA,興崁段,86.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08160001
RPPNMLSKKHPFFAX57DA,興崁段,693.25,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11990000
RPQOMLTKKHPFFAX77CA,二崁南段,1.04,非都市： ; 非都市編定：,1,1,全筆移轉,02820001
RPSNMLRKKHPFFAX77DA,池東段,482.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,28060000
RPROMLTKKHPFFAX87CA,二崁南段,.84,非都市： ; 非都市編定：,9,1,持分移轉,07260003
RPSOMLTKKHPFFAX97CA,二崁南段,.84,非都市： ; 非都市編定：,9,1,持分移轉,07260003
RPPOMLTKKHPFFAX67CA,興崁段,36.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08190001
RPOOMLTKKHPFFAX57CA,興崁段,65.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08170001
RPSNMLSKKHPFFAX77CA,中衛段,665.38,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16480001
RPRNMLSKKHPFFAX67CA,埕東段,79.76,非都市： ; 非都市編定：,1,1,全筆移轉,00310000
RPQNMLTKKHPFFAX67CA,山水西段,107.38,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,01720000
RPUNMLTKKHPFFAX08CA,興崁段,33.34,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,07640001
RPUOMLTKKHPFFAX18CA,鐵線段,27.68,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07740001
RPWNMLPLKHPFFAX97CA,四維段,138.08,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,11940000
RPSNMLTKKHPFFAX87CA,興崁段,66.67,非都市：一般農業區 ; 非都市編定：農牧用地,5,2,持分移轉,07640001
RPPNMLKLKHPFFAX76CA,文澳段,103.00,非都市： ; 非都市編定：,1,1,全筆移轉,24800000
RPUNMLOLKHPFFAX67CA,中西段,288.19,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07280000
RPTOMLTKKHPFFAX08CA,二崁南段,.84,非都市： ; 非都市編定：,9,1,持分移轉,07260003
RPRNMLTKKHPFFAX77CA,興崁段,33.34,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,07640001
RPTNMLRLKHPFFAX87CA,埕西段,69.44,非都市： ; 非都市編定：,1,1,全筆移轉,06120000
RPTNMLLLKHPFFAX27CA,六合段,318.59,非都市： ; 非都市編定：,1,1,全筆移轉,06870001
RPSNMLOLKHPFFAX47CA,井垵西段,67.00,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,08370001
RPQNMLOLKHPFFAX27CA,光華段,52.28,非都市：一般農業區 ; 非都市編定：交通用地,12,1,持分移轉,06880004
RPQNMLOLKHPFFAX27CA,光華段,171.61,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06880008
RPUNMLLLKHPFFAX37CA,池東段,276.23,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11290000
RPPNMLOLKHPFFAX17CA,埕中段,209.67,非都市： ; 非都市編定：,1,1,全筆移轉,05180000
RPTNMLPLKHPFFAX67CA,馬公段,10.69,非都市： ; 非都市編定：,10000,1137,持分移轉,02220007
RPTNMLPLKHPFFAX67CA,馬公段,16.49,非都市： ; 非都市編定：,10000,1137,持分移轉,02230001
RPTNMLPLKHPFFAX67CA,馬公段,3.30,非都市： ; 非都市編定：,10000,1137,持分移轉,02300000
RPPNMLLLKHPFFAX96DA,馬公段,49.00,非都市： ; 非都市編定：,1,1,全筆移轉,16640000
RPTNMLOLKHPFFAX67DA,四維段,14.25,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,10050000
RPWNMLOLKHPFFAX87CA,紅羅段,784.68,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,19030000
RPQNMLRLKHPFFAX57CA,埕中段,490.22,非都市： ; 非都市編定：,1,1,全筆移轉,05230000
RPQNMLRLKHPFFAX57CA,埕中段,111.36,非都市： ; 非都市編定：,1,1,全筆移轉,05200000
RPQNMLRLKHPFFAX57CA,埕中段,80.67,非都市： ; 非都市編定：,1,1,全筆移轉,05220000
RPQNMLRLKHPFFAX57CA,埕中段,11.79,非都市： ; 非都市編定：,1,1,全筆移轉,05210000
RPVNMLQLKHPFFAX97CA,井垵西段,329.47,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15440000
RPRNMLQLKHPFFAX57CA,興崁段,599.89,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07890002
RPQNMLLKLHPFFAX07DA,文東段,29.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02380000
RPQNMLTKLHPFFAX77CA,雙湖段,604.39,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11090000
RPQNMLTKLHPFFAX77CA,雙湖段,119.89,非都市：一般農業區 ; 非都市編定：交通用地,5,1,持分移轉,11090004
RPSNMLQLKHPFFAX67CA,井垵西段,329.30,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15440001
RPTNMLQLKHPFFAX77CA,井垵西段,201.21,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15440002
RPUNMLQLKHPFFAX87CA,井垵西段,382.49,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15440003
RPVNMLRLKHPFFAX08CA,二崁南段,10.54,非都市： ; 非都市編定：,3,1,持分移轉,02740000
RPVNMLRLKHPFFAX08CA,二崁南段,1.23,非都市： ; 非都市編定：,3,1,持分移轉,02770000
RPWNMLRLKHPFFAX18CA,二崁南段,5.27,非都市： ; 非都市編定：,6,1,持分移轉,02740000
RPWNMLRLKHPFFAX18CA,二崁南段,.62,非都市： ; 非都市編定：,6,1,持分移轉,02770000
RPQNMLNJLHPFFAX07CA,埕東段,88.73,非都市： ; 非都市編定：,1,1,全筆移轉,00280000
RPPNMLSKLHPFFAX57CA,北澳段,201.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02080000
RPQNMLTJLHPFFAX67CA,成功南段,172.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,13380002
RPQNMLTJLHPFFAX67CA,成功南段,42.81,非都市：一般農業區 ; 非都市編定：交通用地,9,1,持分移轉,13380004
RPOOMLRLKHPFFAX47CA,紅羅段,149.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,05790000
RPXNMLRLKHPFFAX28CA,二崁南段,5.27,非都市： ; 非都市編定：,6,1,持分移轉,02740000
RPXNMLRLKHPFFAX28CA,二崁南段,.62,非都市： ; 非都市編定：,6,1,持分移轉,02770000
RPPNMLTJLHPFFAX57CA,興仁段,180.87,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08080000
RPTNMLRKLHPFFAX87CA,中衛段,161.25,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16360003
RPTNMLRKLHPFFAX87CA,中衛段,11.03,非都市：一般農業區 ; 非都市編定：交通用地,36,1,持分移轉,16360004
RPUNMLLKLHPFFAX37CA,北極段,117.90,非都市： ; 非都市編定：,1,1,全筆移轉,12240000
RPUNMLLKLHPFFAX37CA,北極段,117.80,非都市： ; 非都市編定：,1,1,全筆移轉,12240003
RPUNMLLKLHPFFAX37CA,北極段,.54,非都市： ; 非都市編定：,1,1,全筆移轉,12250001
RPPNMLMKLHPFFAX96CA,馬公段,160.00,非都市： ; 非都市編定：,1,1,全筆移轉,05260000
RPPNMLMKLHPFFAX96CA,馬公段,367.00,非都市： ; 非都市編定：,1,1,全筆移轉,05220000
RPPNMLMKLHPFFAX96CA,馬公段,31.00,非都市： ; 非都市編定：,1,1,全筆移轉,05220002
RPPNMLNLLHPFFAX17CA,山水北段,1573.60,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07480000
RPQNMLOJLHPFFAX27DA,埕東段,74.61,非都市： ; 非都市編定：,1,1,全筆移轉,00670000
RPTNMLOJLHPFFAX47CA,許家段,30.48,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉,09100014
RPTNMLOJLHPFFAX47CA,許家段,162.40,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09100012
RPUNMLOJLHPFFAX57CA,湖西南段,215.98,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1364,持分移轉,10320000
RPUNMLOJLHPFFAX57CA,湖西南段,215.98,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1364,持分移轉,10320000
RPUNMLOJLHPFFAX57CA,湖西南段,214.08,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1352,持分移轉,10320000
RPUNMLOJLHPFFAX57CA,湖西南段,261.74,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1653,持分移轉,10320000
RPUNMLOJLHPFFAX57CA,湖西南段,243.85,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1540,持分移轉,10320000
RPUNMLOJLHPFFAX57CA,湖西南段,215.50,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1361,持分移轉,10320000
RPUNMLOJLHPFFAX57CA,湖西南段,216.30,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1366,持分移轉,10320000
