鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,建物,基隆市中正區調和街296號七樓之1,0.0,住,,,1090503,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,136.8,3,2,2,有,有,有,12000,88,,0.0,0,,RPRNMLMKNHPFFBC18CC
中正區,建物,基隆市中正區調和街296號十樓之1,0.0,住,,,1090505,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,136.8,3,2,2,有,有,有,12000,88,,0.0,0,,RPSNMLMKNHPFFBC28CC
中正區,建物,基隆市中正區祥豐街95號2樓之4,0.0,住,,,1090504,土地0建物1車位0,二層,7,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880510,33.43,1,1,1,有,有,有,6500,194,,0.0,0,,RPTNMLMKNHPFFBC38CC
信義區,建物,基隆市信義區仁一路41號,0.0,商,,,1090508,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0800720,120.53,1,1,1,有,無,有,6000,50,,0.0,0,,RPUNMLMKNHPFFBC48CC
七堵區,房地(土地+建物)+車位,基隆市七堵區明德二路15之43號4樓,17.77,住,,,1090413,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,90.71,3,2,2,有,有,有,14000,154,坡道平面,12.11,0,車位B1-80號,RPPNMLMKNHPFFCC08CC
信義區,土地,福祿段347-2地號,106.0,商,,,1090514,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,50000,472,,0.0,0,含增建或未登記建物。；未登記錄物面積155.3平方公尺,RPRNMLOKNHPFFBC38CC
七堵區,土地,五堵段五堵北小段1072地號,4773.0,住,,,1090511,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,216575,45,,0.0,0,,RPRNMLKLNHPFFCC18CC
安樂區,房地(土地+建物),基隆市安樂區麥金路233號16樓,6.83,住,,,1090516,土地3建物1車位0,十六層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,70.29,2,1,1,有,有,有,16000,228,,0.0,0,含管理費,RPXNMLKLNHPFFCC88DC
中正區,建物,基隆市中正區觀海街112號16樓,0.0,住,,,1090505,土地0建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,130.32,4,2,2,有,有,有,15000,115,,0.0,0,含管理費,RPTNMLLLNHPFFBC38CC
安樂區,建物,基隆市安樂區麥金路215號4樓,0.0,住,,,1090523,土地0建物1車位1,四層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,86.77000000000001,2,1,1,有,有,有,16000,184,坡道平面,0.0,0,,RPWNMLPLNHPFFCC56CC
中正區,建物,基隆市中正區調和街296號7樓,0.0,住,,,1090512,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,144.06,3,1,2,有,有,有,12000,83,,0.0,0,,RPTNMLQLNHPFFBC88CC
信義區,建物,基隆市信義區正信路39號1樓,0.0,住,,,1090517,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0640802,73.77,3,1,1,有,無,有,8000,108,,0.0,0,,RPOOMLSLNHPFFBC68CC
信義區,建物,基隆市信義區信二路36巷2號1樓,0.0,住,,,1090527,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801228,35.13,1,1,1,有,無,有,10000,285,,0.0,0,,RPPNMLMJOHPFFBC08DC
仁愛區,房地(土地+建物),基隆市仁愛區仁愛區仁二路200號,76.0,商,,,1090515,土地1建物1車位0,一層,6,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0700623,65.8,0,0,0,無,無,無,65500,995,,0.0,0,,RPUNMLNJOHPFFBC58CC
仁愛區,房地(土地+建物),基隆市仁愛區仁二路198號,82.0,商,,,1090515,土地2建物1車位0,一層,6,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0700623,74.85,0,0,0,無,無,有,54500,728,,0.0,0,,RPWNMLNJOHPFFBC78CC
七堵區,房地(土地+建物),基隆市七堵區實踐路252號15樓,36.91,住,,,1090515,土地1建物1車位0,,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071212,171.6,4,2,2,有,無,無,19000,111,,0.0,0,,RPPNMLQJOHPFFCC48CC
七堵區,房地(土地+建物),基隆市七堵區實踐路252號3樓,36.91,住,,,1090527,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071212,171.49,4,2,2,有,無,有,24000,140,,0.0,0,,RPQNMLQJOHPFFCC58CC
