編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLMKNHPFFBC18CC,1,93.61,集合住宅,鋼筋混凝土造,108年2月12日,十四層,
RPRNMLMKNHPFFBC18CC,1,17.53,本共有部分之項目有樓電梯間、梯廳、樓梯間、設備室、機械室及水箱等六項,鋼筋混凝土造,108年2月12日,十四層,
RPRNMLMKNHPFFBC18CC,1,25.66,本共有部分之項目有車道、住宅門廳、排煙室兼梯廳、樓電梯間、陽台、防空避難室兼停車空間、受電箱、安全梯、台電配電場所、電信室、機房、儲藏室、機械設備室、機械室、排煙室、樓梯間、貯藏室、管委會使用空間、門廳及住宅挑高門廳等二十項,鋼筋混凝土造,108年2月12日,十四層,
RPTNMLMKNHPFFBC38CC,21,25.41,住家用,鋼筋混凝土造,88年5月10日,七層,
RPTNMLMKNHPFFBC38CC,21,5.04,共用部份,鋼筋混凝土造,88年5月10日,七層,
RPTNMLMKNHPFFBC38CC,21,2.98,共用部份,鋼筋混凝土造,88年5月10日,七層,
RPPNMLMKNHPFFCC08CC,25,74.85,住家用,鋼筋混凝土造,84年8月1日,十二層,
RPPNMLMKNHPFFCC08CC,25,12.11,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPPNMLMKNHPFFCC08CC,25,3.75,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPWNMLPLNHPFFCC56CC,4,51.68,集合住宅,鋼筋混凝土造,105年1月24日,十八層,
RPWNMLPLNHPFFCC56CC,4,.50,本共有部分之項目為受水池、安全梯、受水池機房、社區水箱、迴廊等共５項。,鋼筋混凝土造,105年1月24日,二十三層,
RPWNMLPLNHPFFCC56CC,4,34.59,本共有部分之項目為排煙室、特別安全梯、緊急昇降機、機房、樓梯間、消防水箱、水箱、電梯機房、消防中繼機房、陽台、中繼室、中繼自來水箱、雨遮、中繼消防水箱、消防泵浦室、機電空間、安全梯  、發電機室、電信室、台電配電場所、大廳、行動不便者電梯、電梯  、１Ｆ門廳、２Ｆ門廳、３Ｆ門廳、台電管道間、消防幫浦室、泵浦  、走道、停車空間、配電箱、資源回收區、４Ｆ門廳、廚餘冷藏室、  不可回收垃圾區、緊急升降機、梯廳、電信機房、５Ｆ門廳、防空避難室兼停車空間、台電專用管道、雨水回收區、雨水收集槽、雨水回收及噴灌機房、６Ｆ門廳、游泳池及中庭景觀池機房、消防幫浦機房  、電信機房室、垃圾處理空間、７Ｆ門廳、機車位、社區中心、防災中心、水景機房等共５５項。,鋼筋混凝土造,105年1月24日,二十五層,
RPTNMLQLNHPFFBC88CC,1,98.37,集合住宅,鋼筋混凝土造,108年2月12日,十四層,
RPTNMLQLNHPFFBC88CC,1,18.47,本共有部分之項目有樓電梯間、梯廳、樓梯間、設備室、機械室及水箱等六項,鋼筋混凝土造,108年2月12日,十四層,
RPTNMLQLNHPFFBC88CC,1,27.22,本共有部分之項目有車道、住宅門廳、排煙室兼梯廳、樓電梯間、陽台、防空避難室兼停車空間、受電箱、安全梯、台電配電場所、電信室、機房、儲藏室、機械設備室、機械室、排煙室、樓梯間、貯藏室、管委會使用空間、門廳及住宅挑高門廳等二十項,鋼筋混凝土造,108年2月12日,十四層,
RPOOMLSLNHPFFBC68CC,45,73.77,住家用,鋼筋混凝土加強磚造,64年8月2日,四層,
RPTNMLLLNHPFFBC38CC,21,130.32,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLMJOHPFFBC08DC,28,35.13,住家用,鋼筋混凝土造,80年12月28日,五層,
RPXNMLKLNHPFFCC88DC,4,49.55,集合住宅,鋼筋混凝土造,105年1月24日,二十二層,
RPXNMLKLNHPFFCC88DC,4,.48,本共有部分之項目為受水池、安全梯、受水池機房、社區水箱、迴廊等共５項。,鋼筋混凝土造,105年1月24日,二十三層,
RPXNMLKLNHPFFCC88DC,4,20.25,本共有部分之項目為排煙室、特別安全梯、緊急昇降機、機房、樓梯間、消防水箱、水箱、電梯機房、消防中繼機房、陽台、中繼室、中繼自來水箱、雨遮、中繼消防水箱、消防泵浦室、機電空間、安全梯  、發電機室、電信室、台電配電場所、大廳、行動不便者電梯、電梯  、１Ｆ門廳、２Ｆ門廳、３Ｆ門廳、台電管道間、消防幫浦室、泵浦  、走道、停車空間、配電箱、資源回收區、４Ｆ門廳、廚餘冷藏室、  不可回收垃圾區、緊急升降機、梯廳、電信機房、５Ｆ門廳、防空避難室兼停車空間、台電專用管道、雨水回收區、雨水收集槽、雨水回收及噴灌機房、６Ｆ門廳、游泳池及中庭景觀池機房、消防幫浦機房  、電信機房室、垃圾處理空間、７Ｆ門廳、機車位、社區中心、防災中心、水景機房等共５５項。,鋼筋混凝土造,105年1月24日,二十五層,
RPXNMLKLNHPFFCC88DC,4,.01,辦公室,鋼筋混凝土造,105年1月24日,,
RPUNMLNJOHPFFBC58CC,39,65.80,商業用,鋼筋混凝土造,70年6月23日,六層,
RPWNMLNJOHPFFBC78CC,39,74.85,商業用,鋼筋混凝土造,70年6月23日,六層,
RPQNMLQJOHPFFCC58CC,1,121.63,集合住宅,鋼筋混凝土造,107年12月12日,十五層,
RPQNMLQJOHPFFCC58CC,1,9.64,本建物共有部分之項目有停車空間、防空避難室兼停車空間等共２項,鋼筋混凝土造,107年12月12日,十五層,
RPQNMLQJOHPFFCC58CC,1,40.22,本建物共有部分之項目有蓄水池、樓電梯間、排煙室、梯廳、公共服務空間、梯間、水箱、電梯機房、消防水箱、陽台等共１０項。,鋼筋混凝土造,107年12月12日,十五層,
RPPNMLQJOHPFFCC48CC,1,121.63,集合住宅,鋼筋混凝土造,107年12月12日,十五層,
RPPNMLQJOHPFFCC48CC,1,9.64,本建物共有部分之項目有停車空間、防空避難室兼停車空間等共２項,鋼筋混凝土造,107年12月12日,十五層,
RPPNMLQJOHPFFCC48CC,1,40.33,本建物共有部分之項目有蓄水池、樓電梯間、排煙室、梯廳、公共服務空間、梯間、水箱、電梯機房、消防水箱、陽台等共１０項。,鋼筋混凝土造,107年12月12日,十五層,
RPXNMLSJOHPFFBC76CC,51,45.99,住家用,加強磚造,58年7月18日,二層,
RPWNMLTJOHPFFBC86DC,57,32.16,住商用,加強磚造,52年11月1日,三層,
RPOOMLRKOHPFFBC58CC,42,113.48,商業用,鋼筋混凝土造,66年12月8日,四層,
RPSNMLMKNHPFFBC28CC,1,93.61,集合住宅,鋼筋混凝土造,108年2月12日,十四層,
RPSNMLMKNHPFFBC28CC,1,17.53,本共有部分之項目有樓電梯間、梯廳、樓梯間、設備室、機械室及水箱等六項,鋼筋混凝土造,108年2月12日,十四層,
