編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLMKNHPFFAD87CA,44,119.31,住家用,鋼筋混凝土造,65年10月1日,三層,一層 二層 三層
RPOOMLMKNHPFFAD77CA,,48.07,集合住宅,鋼筋混凝土構造,108年12月17日,二十三層,十九層 陽台 雨遮
RPOOMLMKNHPFFAD77CA,,52.04,本共有部分之項目有門廊、門廳、車道、公共服務空間、防災中心、樓梯間、機械室、昇降機間兼排煙室、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,108年12月17日,二十三層,
RPXNMLOKNHPFFAD78CA,4,60.80,集合住宅,鋼筋混凝土構造,104年11月5日,二十四層,十一層 陽台 雨遮
RPXNMLOKNHPFFAD78CA,4,25.92,本共有部分之項目：有樓梯間、門廊、門廳、管委會使用空間、防災中心、停車空間、防空避難室、車道、游泳池、機房自來水池等項,鋼筋混凝土構造,104年11月5日,二十四層,
RPPOMLMKNHPFFAD87CA,,48.07,集合住宅,鋼筋混凝土構造,108年12月17日,二十三層,七層 陽台 雨遮
RPPOMLMKNHPFFAD87CA,,52.04,本共有部分之項目有門廊、門廳、車道、公共服務空間、防災中心、樓梯間、機械室、昇降機間兼排煙室、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土構造,108年12月17日,二十三層,
RPPQMLSKNHPFFAD68CA,14,86.91,集合住宅,ＲＣ造,95年10月1日,十四層,五層 陽台 雨遮
RPPQMLSKNHPFFAD68CA,14,15.45,共有部分,ＲＣ造,95年10月1日,十四層,
RPPQMLSKNHPFFAD68CA,14,16.81,共有部分,ＲＣ造,95年10月1日,十四層,
RPPOMLNKNHPFFAD97CA,27,296.38,住商用,鋼筋混凝土造,82年4月21日,四層,一層 二層 三層 四層 陽台 屋頂突出物 地下層
RPVOMLLLNHPFFAD48CA,54,76.46,住家用,加強磚造,55年1月1日,二層,一層 二層
RPPQMLMLNHPFFAD18CA,46,79.63,住家用,加強磚造,62年10月30日,二層,一層 二層 屋頂突出物
RPOOMLLKNHPFFBD77CA,25,103.41,住家用,鋼筋混凝土造,84年6月7日,二層,一層 二層 陽台 夾層
RPXNMLKMNHPFFAD58CA,3,73.76,本共有部分之項目有：樓梯間、機房、水箱、特別安全梯、梯廳、排煙管道、排煙室、行動不便電梯、緊急升降機、管道間、進風管道、防空避難室、停車空間、管委會使用空間,鋼筋混凝土構造,105年11月9日,二十七層,
RPXNMLKMNHPFFAD58CA,3,86.46,集合住宅,鋼筋混凝土構造,105年11月9日,二十七層,十二層 陽台 雨遮
RPWOMLNJOHPFFAD68CA,17,.28,超級市場、辦公室,鋼筋混凝土造,92年9月16日,十四層,一層 二層 三層 陽台
RPWOMLNJOHPFFAD68CA,17,.08,店舖、住宅,鋼筋混凝土造,92年9月16日,十三層,一層 二層 三層 陽台
RPWOMLNJOHPFFAD68CA,17,.01,公共設施,鋼筋混凝土造,92年9月16日,十三層,
RPWOMLNJOHPFFAD68CA,17,.00,公共設施,鋼筋混凝土造,92年9月16日,十三層,
RPWOMLNJOHPFFAD68CA,17,98.00,集合住宅,鋼筋混凝土造,92年9月16日,十三層,五層 陽台
RPWOMLNJOHPFFAD68CA,17,24.81,公共設施,鋼筋混凝土造,92年9月16日,十三層,
RPWOMLNJOHPFFAD68CA,17,36.60,公共設施,鋼筋混凝土造,92年9月16日,十三層,
RPWOMLNJOHPFFAD68CA,17,.02,管理室等,鋼筋混凝土造,92年9月16日,十四層,
RPWOMLNJOHPFFAD68CA,17,.00,公共設施,鋼筋混凝土造,92年9月16日,十四層,
RPPNMLOKNHPFFBD08CA,43,90.64,住家用,加強磚造,66年2月14日,二層,一層 二層
RPOOMLKLNHPFFBD77CA,,57.58,集合住宅,鋼筋混凝土造,109年1月14日,十四層,十層 陽台
RPOOMLKLNHPFFBD77CA,,51.51,本共有部份之項目有：防空避難室兼停車空間、停車空間、管理維護空間、樓梯間、機械室、水塔、門廊、停車空間（車道）、排煙室、垃圾冷凍儲存空間、門廳共１１項。,鋼筋混凝土造,109年1月14日,十四層,
RPQOMLKLNHPFFBD97CA,,83.23,集合住宅,鋼筋混凝土造,109年1月14日,十四層,四層 陽台
RPQOMLKLNHPFFBD97CA,,64.92,本共有部份之項目有：防空避難室兼停車空間、停車空間、管理維護空間、樓梯間、機械室、水塔、門廊、停車空間（車道）、排煙室、垃圾冷凍儲存空間、門廳共１１項。,鋼筋混凝土造,109年1月14日,十四層,
RPVNMLKLNHPFFBD38CA,,56.59,集合住宅,鋼筋混凝土造,109年1月14日,十四層,五層 陽台
RPVNMLKLNHPFFBD38CA,,50.92,本共有部份之項目有：防空避難室兼停車空間、停車空間、管理維護空間、樓梯間、機械室、水塔、門廊、停車空間（車道）、排煙室、垃圾冷凍儲存空間、門廳共１１項。,鋼筋混凝土造,109年1月14日,十四層,
RPUNMLKLNHPFFBD28CA,,57.58,集合住宅,鋼筋混凝土造,109年1月14日,十四層,四層 陽台
RPUNMLKLNHPFFBD28CA,,51.51,本共有部份之項目有：防空避難室兼停車空間、停車空間、管理維護空間、樓梯間、機械室、水塔、門廊、停車空間（車道）、排煙室、垃圾冷凍儲存空間、門廳共１１項。,鋼筋混凝土造,109年1月14日,十四層,
RPWNMLKLNHPFFBD48CA,,57.90,集合住宅,鋼筋混凝土造,109年1月14日,十四層,十二層 陽台
RPWNMLKLNHPFFBD48CA,,51.70,本共有部份之項目有：防空避難室兼停車空間、停車空間、管理維護空間、樓梯間、機械室、水塔、門廊、停車空間（車道）、排煙室、垃圾冷凍儲存空間、門廳共１１項。,鋼筋混凝土造,109年1月14日,十四層,
RPSOMLKLNHPFFBD18CA,,56.59,集合住宅,鋼筋混凝土造,109年1月14日,十四層,十二層 陽台
RPSOMLKLNHPFFBD18CA,,60.06,本共有部份之項目有：防空避難室兼停車空間、停車空間、管理維護空間、樓梯間、機械室、水塔、門廊、停車空間（車道）、排煙室、垃圾冷凍儲存空間、門廳共１１項。,鋼筋混凝土造,109年1月14日,十四層,
RPXNMLKLNHPFFBD58CA,,83.82,集合住宅,鋼筋混凝土造,109年1月14日,十四層,二層 陽台
RPXNMLKLNHPFFBD58CA,,65.21,本共有部份之項目有：防空避難室兼停車空間、停車空間、管理維護空間、樓梯間、機械室、水塔、門廊、停車空間（車道）、排煙室、垃圾冷凍儲存空間、門廳共１１項。,鋼筋混凝土造,109年1月14日,十四層,
RPTOMLKLNHPFFBD28CA,,83.23,集合住宅,鋼筋混凝土造,109年1月14日,十四層,七層 陽台
