編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLLKNHPFFCE58CC,2,54.26,集合住宅,鋼筋混凝土,107年6月20日,十六層,
RPUOMLLKNHPFFCE78CC,26,93.98,住家用,鋼筋混凝土造,83年8月9日,十二層,
RPSOMLLKNHPFFCE58CC,2,15.35,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,
RPUOMLLKNHPFFCE78CC,26,44.66,住家用,鋼筋混凝土造,83年8月9日,十二層,
RPSOMLLKNHPFFCE58CC,2,38.41,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,
RPUNMLLKNHPFFDE78CC,11,10.90,住商用,鋼筋混凝土造,98年3月30日,五層,
RPVNMLLKNHPFFDE88CC,40,210.00,,鋼筋混凝土造,69年1月31日,四層,
RPRNMLLKNHPFFIE98CC,7,676.30,店舖、住宅、停車空間,鋼筋混凝土造,102年1月16日,五層,
RPXNMLLKNHPFFEE56CC,12,66.31,住商用,鋼筋混凝土造,96年11月6日,五層,
RPUOMLLKNHPFFGE56CC,5,167.68,廠房,鋼骨構造（有牆）,104年1月28日,一層,
RPVNMLMKNHPFFGE66CC,43,238.80,住商用,鋼筋混凝土造,65年11月30日,三層,
RPOOMLMKNHPFFGE78DC,40,218.12,住商用,鋼筋混凝土造,69年9月22日,四層,
RPPOMLMKNHPFFGE78CC,,197.78,廠房,鋼骨造,108年10月30日,一層,
RPWNMLMKNHPFFEE56CC,4,73.81,集合住宅,鋼筋混凝土,104年11月16日,十五層,
RPWNMLMKNHPFFEE56CC,4,77.69,本共有部分之項目有防空避難室兼停車空間、梯廳、門廳、樓梯間、公共服務空間、管理委員會使用空間、門廊、梯間、機械室、水箱等１０項。,鋼筋混凝土,104年11月16日,十五層,
RPOOMLMKNHPFFLE56CC,25,90.17,住家用,鋼筋混凝土造,84年2月17日,十九層,
RPOOMLMKNHPFFLE56CC,25,19.49,共有部份,鋼筋混凝土造,84年2月17日,十九層,
RPOOMLMKNHPFFEE48CC,15,185.56,住商用,鋼筋混凝土造,94年10月6日,十五層,
RPWOMLMKNHPFFGE86CC,20,90.50,住家用,鋼筋混凝土造,89年5月20日,十二層,
RPWOMLMKNHPFFGE86CC,20,58.98,共有部份,鋼筋混凝土造,89年5月20日,十二層,
RPWOMLMKNHPFFEE66CC,5,15.00,住宅,鋼筋混凝土,104年7月8日,五層,
RPSOMLMKNHPFFEE88CC,13,165.98,店舖，住宅,鋼筋混凝土造,96年8月1日,四層,
RPUOMLMKNHPFFEE09CC,2,225.04,住宅,鋼筋混凝土,107年7月16日,四層,
RPUNMLMKNHPFFCE78CC,9,254.39,住家用,鋼筋混凝土造,100年7月19日,五層,
RPPPMLMKNHPFFEE68CC,35,83.29,,鋼筋混凝土造,74年3月12日,五層,
RPSOMLMKNHPFFCE68CC,42,63.51,,鋼筋混凝土造,67年9月20日,五層,
RPTOMLMKNHPFFCE78CC,44,51.59,住家用,鋼筋混凝土造,65年3月19日,三層,
RPQQMLMKNHPFFDE78CC,2,68.64,集合住宅,鋼筋混凝土造,107年7月6日,十五層,
RPQQMLMKNHPFFDE78CC,2,37.82,本共有部分項目有防空避難室兼停車空間、管委會使用空間、車道投影、梯間、樓梯間、機械室、水箱等項目,鋼筋混凝土造,107年7月6日,十五層,
RPVOMLMKNHPFFCE98CC,10,134.38,住家用,鋼筋混凝土造,98年12月24日,十九層,
RPVOMLMKNHPFFCE98CC,10,67.14,本共有部分之項目有避難室兼停車空間、管委會使用空間、門廳、車道、防災中心、水池、水箱、樓梯間及機械室等九項。,鋼筋混凝土造,98年12月24日,十九層,
RPROMLMKNHPFFBE48CC,33,105.05,,鋼筋混凝土造,75年12月1日,五層,
RPSNMLMKNHPFFAE38CC,9,49.34,住家用,鋼筋混凝土造,100年10月7日,十五層,
RPSNMLMKNHPFFAE38CC,9,26.99,見其他登記事項,鋼筋混凝土造,100年10月7日,十五層,
RPUOMLMKNHPFFBE78CC,1,40.85,集合住宅,鋼筋混凝土造,108年2月1日,十五層,
RPUOMLMKNHPFFBE78CC,1,21.17,共有部份,鋼筋混凝土造,108年2月1日,十五層,
RPVOMLMKNHPFFBE88CC,40,30.78,,鋼筋混凝土造,69年2月28日,四層,
RPTOMLNKNHPFFBE78CC,13,141.91,住家用,鋼筋混凝土造,96年4月13日,十五層,
RPTOMLNKNHPFFBE78CC,13,81.82,共有部份,鋼筋混凝土造,96年4月13日,十五層,
RPPPMLNKNHPFFBE48CC,30,26.56,,鋼筋混凝土造,79年7月13日,七層,
RPPPMLNKNHPFFBE48CC,30,10.32,,鋼筋混凝土造,79年7月13日,七層,
RPPOMLNKNHPFFAE28CC,8,103.33,住商用,鋼筋混凝土造,101年7月10日,十四層,
RPOOMLMKNHPFFBE18CC,6,169.83,住家用,鋼骨鋼筋混凝土造,103年9月1日,三十三層,
RPOOMLMKNHPFFBE18CC,6,104.13,共有部份,鋼骨鋼筋混凝土造,103年9月1日,三十三層,
RPTOMLNKNHPFFAE68CC,35,156.21,,鋼筋混凝土造,74年3月27日,十二層,
RPTOMLNKNHPFFAE68CC,35,56.78,,鋼筋混凝土造,74年3月27日,十二層,
RPUOMLNKNHPFFBE88CC,2,38.62,集合住宅,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土構造,107年9月11日,二十九層,
RPUOMLNKNHPFFBE88CC,2,20.60,共有部份,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土構造,107年9月11日,二十九層,
RPQNMLNKNHPFFBE38CC,37,26.97,,鋼筋混凝土造,72年3月5日,十二層,
RPVNMLNKNHPFFCE98CC,2,64.04,辦公室、住宅,鋼筋混凝土,107年6月20日,十六層,
RPQNMLNKNHPFFBE38CC,37,6.74,,鋼筋混凝土造,72年3月5日,十二層,
RPVNMLNKNHPFFCE98CC,2,18.09,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,
RPVNMLNKNHPFFCE98CC,2,40.67,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,
RPQQMLNKNHPFFDE88CC,32,285.47,,鋼筋混凝土造,77年3月16日,五層,
RPPNMLNKNHPFFEE58CC,28,55.60,住商用,鋼筋混凝土造,81年9月8日,十四層,
RPUQMLNKNHPFFDE66CC,25,87.04,住家用,鋼筋混凝土造,83年11月3日,十六層,
RPVNMLNKNHPFFEE56CC,26,130.93,住家用,鋼筋混凝土造,83年6月14日,八層,
RPXQMLNKNHPFFDE96CC,28,65.02,見使用執照,鋼筋混凝土造,81年8月4日,十二層,
RPQPMLNKNHPFFEE88CC,32,63.48,住商用,鋼筋混凝土造,77年8月13日,五層,
RPXQMLNKNHPFFDE96CC,28,30.48,見使用執照,鋼筋混凝土造,81年8月4日,十二層,
RPQPMLNKNHPFFEE88CC,32,16.07,住家用,鋼筋混凝土造,77年8月2日,三層,
RPTOMLNKNHPFFFE56CC,26,140.26,住家用,鋼筋混凝土造,83年1月20日,八層,
RPSPMLNKNHPFFDE98CC,47,57.88,,加強磚造,61年11月25日,三層,
RPVOMLNKNHPFFFE76CC,4,177.01,集合住宅,鋼筋混凝土造,105年1月30日,十五層,
RPSOMLNKNHPFFFE09CC,21,253.53,工業用,鋼骨造,88年10月15日,一層,
RPSOMLNKNHPFFFE09CC,21,486.00,廠房,鋼骨造,88年10月1日,一層,
RPWOMLNKNHPFFBE56DC,55,62.88,,加強磚造,54年8月20日,三層,
RPXNMLOKNHPFFFE96CC,30,203.92,住商用,鋼筋混凝土造,79年5月17日,四層,
RPOPMLNKNHPFFIE09CC,16,18.90,商業用,鋼骨結構造,93年8月18日,一層,
RPPPMLNKNHPFFIE56CC,41,83.27,住家用,加強磚造,68年3月10日,一層,
RPRNMLOKNHPFFLE96CC,29,48.78,工業用,鋼筋混凝土造,80年5月20日,五層,
RPRQMLOKNHPFFGE76CC,4,51.05,集合住宅,鋼筋混凝土,105年2月4日,十五層,
RPRQMLOKNHPFFGE76CC,4,27.48,本共有部分之項目有停車空間、防空避難室兼停車空間、門廳兼梯廳、管委會、車道、頂蓋型廣場式開放空間、頂蓋型沿街步道式開放空間、樓梯間、機械室、水箱等項。,鋼筋混凝土,105年2月4日,十五層,
RPOPMLOKNHPFFEE78CC,26,112.06,住商用,鋼筋混凝土造,82年11月20日,七層,
RPUPMLOKNHPFFEE76CC,9,31.06,住家用,鋼筋混凝土造,100年10月28日,十五層,
RPUPMLOKNHPFFEE76CC,9,18.08,本共有部份之項目有樓梯間、門廳、騎樓、車道、停車空間、防空避難室兼停車空間、樓梯間機械室、水箱等８項。,鋼筋混凝土造,100年10月28日,十五層,
RPUOMLOKNHPFFEE66CC,24,135.55,住家用,鋼筋混凝土造,85年9月21日,二十層,
RPUQMLOKNHPFFGE07CC,36,90.00,住商用,鋼筋混凝土造,73年10月27日,四層,
RPWPMLOKNHPFFDE86CC,32,59.95,,鋼筋混凝土造,77年2月26日,五層,
RPTNMLOKNHPFFDE98CC,31,37.80,,鋼筋混凝土造,78年10月19日,七層,
RPSPMLOKNHPFFDE09CC,12,231.67,住商用,鋼筋混凝土造,97年10月1日,五層,
RPQPMLOKNHPFFEE98CC,22,102.52,住家用,鋼筋混凝土造,87年1月16日,九層,
RPQPMLOKNHPFFEE98CC,22,56.49,見使用執照,鋼筋混凝土造,87年1月16日,九層,
RPRPMLOKNHPFFEE09CC,22,81.17,住家用,鋼筋混凝土造,87年1月16日,九層,
RPRPMLOKNHPFFEE09CC,22,47.76,見使用執照,鋼筋混凝土造,87年1月16日,九層,
RPPNMLOKNHPFFBE38CC,41,149.57,,鋼筋混凝土造,68年10月18日,十一層,
RPPNMLOKNHPFFBE38CC,41,115.49,,鋼筋混凝土造,68年10月18日,十一層,
RPPNMLOKNHPFFBE38CC,41,365.18,,鋼筋混凝土造,68年10月18日,十二層,
RPXPMLOKNHPFFDE96CC,41,68.85,住家用,壁式預鑄鋼筋混凝土造,67年12月16日,十一層,
RPPOMLPKNHPFFBE58CC,12,31.07,住家用,鋼筋混凝土造,97年9月19日,十三層,
RPPOMLPKNHPFFBE58CC,12,8.41,共有部份,鋼筋混凝土造,97年9月19日,十三層,
RPPOMLPKNHPFFBE58CC,12,8.58,共有部份,鋼筋混凝土造,97年9月19日,十三層,
RPSNMLOKNHPFFAE58CC,15,113.51,住家用,鋼筋混凝土造,93年12月16日,十四層,
RPPNMLPKNHPFFAE38CC,39,49.55,,鋼筋混凝土造,70年6月19日,十層,
RPVNMLPKNHPFFAE98CC,9,50.00,住家用,鋼筋混凝土造,100年10月7日,十五層,
RPVNMLPKNHPFFAE98CC,9,27.33,見其他登記事項,鋼筋混凝土造,100年10月7日,十五層,
RPQOMLPKNHPFFBE68CC,2,54.84,集合住宅,鋼筋混凝土造,107年6月21日,十五層,
RPQOMLPKNHPFFBE68CC,2,26.91,共有部份,鋼筋混凝土造,107年6月21日,十五層,
RPWNMLPKNHPFFAE09CC,9,50.10,住家用,鋼筋混凝土造,100年10月7日,十五層,
RPWNMLPKNHPFFAE09CC,9,33.40,見其他登記事項,鋼筋混凝土造,100年10月7日,十五層,
RPPOMLPKNHPFFAE48CC,1,419.05,住宅,鋼筋混凝土,108年3月28日,五層,
RPRNMLPKNHPFFDE88CC,29,39.27,,鋼筋混凝土造,80年3月14日,十九層,
RPUNMLPKNHPFFDE56CC,20,96.72,商業用,見使用執照,89年9月21日,一層,
RPSOMLPKNHPFFAE78CC,4,64.99,集合住宅,鋼筋混凝土,105年1月14日,十五層,
RPSOMLPKNHPFFAE78CC,4,33.50,本共有部分之項目有防空避難室兼停車空間、樓梯間、機械室、水箱、騎樓、門廳、門廊、車道、淋浴間、昇降機道、公廁、設備空間及安全梯間、走廊兼梯廳等１３項。,鋼筋混凝土,105年1月14日,十五層,
RPQOMLPKNHPFFAE58CC,9,107.70,住家用,鋼筋混凝土造,100年1月20日,十九層,
RPQOMLPKNHPFFAE58CC,9,77.08,見其他登記事項,鋼筋混凝土造,100年1月20日,十九層,
RPVNMLPKNHPFFCE56CC,27,134.83,住商用,鋼筋混凝土造,82年7月30日,二十四層,
RPVNMLPKNHPFFCE56CC,27,65.10,見使用執照,鋼筋混凝土造,82年7月30日,二十四層,
RPOOMLPKNHPFFCE58CC,27,4.88,見使用執照,鋼筋混凝土造,82年7月30日,二十四層,
RPWOMLPKNHPFFDE86CC,15,543.24,住商用,鋼筋混凝土造,94年1月31日,五層,
RPUNMLPKNHPFFEE66CC,29,519.31,住商用,鋼筋混凝土造,80年5月2日,十二層,
RPUNMLPKNHPFFEE66CC,29,69.16,見使用執照,鋼筋混凝土造,80年5月2日,十二層,
RPVOMLPKNHPFFEE86CC,6,55.27,住家用,鋼筋混凝土,103年5月28日,十五層,
RPVOMLPKNHPFFEE86CC,6,29.75,本共有部分之項目有停車空間、防空避難室兼停車空間、樓梯間、公共服務空間、門廳、頂蓋型廣場式開放空間、車道、機械室、水箱等９項。,鋼筋混凝土,103年5月28日,十五層,
RPQNMLPKNHPFFEE88CC,1,52.67,集合住宅,鋼筋混凝土結構造,108年8月16日,十五層,
RPQNMLPKNHPFFEE88CC,1,26.00,本共有部分之項目有防空避難室兼停車空間、梯間、車道、管理委員會使用空間、門廳、管委會使用空間、樓梯間、機械房、水箱等共１０項。,鋼筋混凝土結構造,108年8月16日,十五層,
RPWOMLPKNHPFFFE07CC,10,162.40,作業廠房,鋼骨構造,99年6月8日,一層,
RPTNMLPKNHPFFGE76CC,1,96.98,集合住宅,鋼筋混凝土,108年8月27日,十五層,
RPTNMLPKNHPFFGE76CC,1,70.77,本共有部分之項目有防空避難室兼停車空間、公共服務空間、管理委員會使用空間、門廊、梯廳、門廳、樓梯間、機械室、水箱等９項。,鋼筋混凝土,108年8月27日,十五層,
RPSNMLPKNHPFFEE09CC,6,139.94,住家用,鋼筋混凝土造,102年11月11日,十五層,
