編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRPMLOKNHPFFAI09CC,竹圍子段,.00,都市：其他:市場用地,,,,01320036
RPOPMLOKNHPFFAI78CC,北社尾段,.00,都市：住,,,,07120001
RPSNMLMLNHPFFAI09EC,車店段,139.00,都市：住,,,,03970061
RPQPMLOKNHPFFAI98CC,竹圍子段,.00,都市：住,,,,00210000
RPTNMLSKNHPFFAI86CC,盧厝段,.00,都市：住,,,,02440009
RPQOMLPLNHPFFAI09CC,新富段三小段,.00,都市：商,,,,00750011
RPROMLPLNHPFFAI56CC,遠東段,.00,都市：住,,,,00680007
RPRNMLRLNHPFFAI66CC,彌陀段,10.44,都市：住,,,,05820000
RPUNMLTLNHPFFAI17CC,短竹段,77.00,都市：住,,,,16820002
RPTNMLTLNHPFFAI07CC,車店段,26.97,都市：住,,,,00880000
RPTNMLTLNHPFFAI07CC,白川段,4.29,都市：住,,,,00320001
RPXNMLRLNHPFFAI27CC,下路頭段,149.00,都市：住,,,,00460018
RPOOMLSLNHPFFAI56CC,新富段三小段,.00,都市：商,,,,00750011
RPXNMLNJOHPFFAI76CC,新太平段,15.40,都市：住,,,,05410000
RPROMLNJOHPFFAI88CC,台斗坑段,.00,都市：商,,,,03250000
RPUOMLQJOHPFFAI86CC,中庄段,.00,都市：住,,,,10580000
RPUOMLQKOHPFFAI96CC,新太平段,14.59,都市：住,,,,05410000
RPOOMLNJOHPFFAI58CC,新太平段,14.59,都市：住,,,,05410000
RPTOMLQJOHPFFAI76CC,彌陀段,.00,都市：住,,,,05820000
RPWOMLQKOHPFFAI17CC,中庄段,.00,都市：住,,,,07120000
RPPOMLOJOHPFFAI78CC,竹圍子段,77.00,都市：住,,,,03110009
RPOPMLQKOHPFFAI09CC,短竹段,.00,都市：住,,,,16690000
RPXOMLQKOHPFFAI27CC,下路頭段,.00,都市：住,,,,05910002
RPOOMLTKOHPFFAI66CC,新富段六小段,84.00,都市：商,,,,00130027
RPTOMLQKOHPFFAI96DC,新太平段,14.59,都市：住,,,,05410000
RPWNMLMLOHPFFAI76CC,北門段七小段,.00,都市：商,,,,00190007
RPWNMLMLOHPFFAI76CC,北門段七小段,.00,都市：商,,,,00190009
RPVNMLKLOHPFFAI09CC,新太平段,18.64,都市：住,,,,05410000
RPQNMLRLOHPFFAI66CC,新太平段,18.64,都市：住,,,,05410000
RPPNMLRLOHPFFAI56CC,新太平段,18.64,都市：住,,,,05410000
RPSNMLRLOHPFFAI86CC,中山段一小段,40.24,都市：住,,,,00050000
RPRNMLKMOHPFFAI78CC,台斗坑段,.00,都市：商,,,,03250000
