編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUPMLOJQHPFFBJ07CB,仰德段,73.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230003
RPQQMLOJQHPFFBJ76CB,仰德段,80.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230011
RPPQMLOJQHPFFBJ66CB,仰德段,82.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230022
RPRQMLOJQHPFFBJ86CB,仰德段,72.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230004
RPVQMLOJQHPFFBJ27CB,仰德段,72.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230006
RPWQMLOJQHPFFBJ37CB,仰德段,87.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230024
RPUQMLOJQHPFFBJ17CB,仰德段,89.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230018
RPORMLOJQHPFFBJ66CB,仰德段,79.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230021
RPSQMLOJQHPFFBJ96CB,仰德段,72.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230005
RPXQMLOJQHPFFBJ47CB,仰德段,82.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230020
RPPRMLOJQHPFFBJ76CB,仰德段,85.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230026
RPQRMLOJQHPFFBJ86CB,仰德段,76.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230025
RPRRMLOJQHPFFBJ96CB,仰德段,102.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230015
RPTRMLOJQHPFFBJ17CB,仰德段,90.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230001
RPVRMLOJQHPFFBJ37CB,仰德段,78.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230019
RPSRMLOJQHPFFBJ07CB,仰德段,80.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230023
RPURMLOJQHPFFBJ27CB,仰德段,84.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230000
RPVPMLRLQHPFFBJ67CB,仰德段,72.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230007
RPUPMLRLQHPFFBJ57CB,仰德段,76.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230009
RPWPMLRLQHPFFBJ77CB,仰德段,78.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,17230017
