鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
彰化市,土地,石牌段517地號,69.55,,山坡地保育區,農牧用地,1090428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,126000,1812,,0.0,0,,RPRPMLNKNHPFFAN66CA,0.0,0.0,0.0,,
彰化市,房地(土地+建物),彰化縣彰化市自由街１１８號,77.0,住,,,1090424,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650511,78.4,4,3,1,有,無,2500000,31888,,0.0,0,親友、員工或其他特殊關係間之交易。；權利人有二人各持分二分之一。,RPWNMLLKNHPFFAN76CA,78.4,0.0,0.0,,
彰化市,土地,古夷段741地號,80.09,住,,,1090427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4820000,60182,,0.0,0,,RPPNMLMKNHPFFAN78CA,0.0,0.0,0.0,,
芬園鄉,土地,同安段385地號,6907.27,,山坡地保育區,農牧用地,1090407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,1737,,0.0,0,,RPUOMLMKNHPFFAN76CA,0.0,0.0,0.0,,
花壇鄉,房地(土地+建物),彰化縣花壇鄉宏宅街１４０號,73.38,,特定農業區,甲種建築用地,1090410,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0700116,117.08,2,2,2,有,無,2000000,17082,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPVRMLOKNHPFFAN37CA,117.08,0.0,0.0,,
彰化市,房地(土地+建物)+車位,彰化縣彰化市延平路63巷19號六樓之3,32.4,住,,,1090406,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070920,200.36,3,2,2,有,有,13960000,69675,坡道平面,0.0,0,,RPQNMLPKNHPFFAN56CA,93.01,3.19,19.56,,
彰化市,房地(土地+建物),彰化縣彰化市自強路３２８巷３３號,128.0,住,,,1090228,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0630919,84.99,2,2,2,有,無,6600000,77656,,0.0,0,,RPPNMLRKNHPFFAN66CA,84.99,0.0,0.0,,
彰化市,房地(土地+建物),彰化縣彰化市中華西路２５０巷３２號,112.88,住,,,1090413,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070810,207.59,4,2,4,有,無,17000000,81892,,0.0,0,,RPQOMLKLNHPFFAN88CA,186.66,0.0,20.93,,
彰化市,房地(土地+建物),彰化縣彰化市泰和路三段480巷21號,68.0,,鄉村區,乙種建築用地,1090419,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0641115,115.92,4,1,2,有,無,3500000,30193,,0.0,0,親友、員工或其他特殊關係間之交易。；本買賣案件係親友間買賣，其交易價格可能異於市場正常交易價格。,RPSNMLOLNHPFFAN76CA,115.92,0.0,0.0,,
彰化市,房地(土地+建物),彰化縣彰化市彰南路一段３２５巷１６號,504.0,,鄉村區,乙種建築用地,1090323,土地1建物1車位0,一層,一層,廠辦,工業用,鋼造,0741125,156.52,0,0,0,無,無,30000000,191669,,0.0,0,,RPPNMLLMNHPFFAN88CA,156.52,0.0,0.0,,
彰化市,房地(土地+建物),彰化縣彰化市中山路二段６１２巷４之４號,38.8,住,,,1090426,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690918,117.11,0,0,0,無,無,3000000,25617,,0.0,0,,RPQNMLOJOHPFFAN09CA,98.6,0.0,0.0,,
秀水鄉,房地(土地+建物),彰化縣秀水鄉中山路１３３巷１４弄１９號,112.0,住,,,1090427,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0821210,168.69,3,2,3,有,無,5500000,32604,,0.0,0,,RPQOMLOJOHPFFAN56CA,168.69,0.0,0.0,,
