編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLPKNHPFFAO47EB,新興段,37.01,都市：住,100000,3331,持分移轉,11020000
RPVNMLPKNHPFFAO47EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPWNMLPKNHPFFAO57EB,新興段,35.93,都市：住,100000,3234,持分移轉,11020000
RPWNMLPKNHPFFAO57EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPSNMLPKNHPFFAO17EB,新興段,35.93,都市：住,100000,3234,持分移轉,11020000
RPSNMLPKNHPFFAO17EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPOOMLPKNHPFFAO86EB,新興段,31.31,都市：住,100000,2818,持分移轉,11020000
RPOOMLPKNHPFFAO86EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPTNMLPKNHPFFAO27EB,新興段,37.01,都市：住,100000,3331,持分移轉,11020000
RPTNMLPKNHPFFAO27EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPXNMLPKNHPFFAO67EB,新興段,35.93,都市：住,100000,3234,持分移轉,11020000
RPXNMLPKNHPFFAO67EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPPOMLPKNHPFFAO96EB,新興段,31.31,都市：住,100000,2818,持分移轉,11020000
RPPOMLPKNHPFFAO96EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPQOMLPKNHPFFAO07EB,新興段,35.93,都市：住,100000,3234,持分移轉,11020000
RPQOMLPKNHPFFAO07EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPROMLPKNHPFFAO17EB,新興段,37.01,都市：住,100000,3331,持分移轉,11020000
RPROMLPKNHPFFAO17EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPSOMLPKNHPFFAO27EB,新興段,35.93,都市：住,100000,3234,持分移轉,11020000
RPSOMLPKNHPFFAO27EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPTOMLPKNHPFFAO37EB,新興段,37.01,都市：住,100000,3331,持分移轉,11020000
RPTOMLPKNHPFFAO37EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
RPVOMLPKNHPFFAO57EB,新興段,35.93,都市：住,100000,3234,持分移轉,11020000
RPVOMLPKNHPFFAO57EB,新興段,.00,都市：其他:道路用地,126720,51,持分移轉,11010000
