鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
水上鄉,房地(土地+建物),嘉義縣水上鄉崎子頭216號,77.32,,鄉村區,乙種建築用地,1090426,土地1建物0車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0670901,107.28,2,2,2,有,無,無,6500,61,,0.0,0,,RPTNMLMKNHPFFDQ37CC
太保市,房地(土地+建物),嘉義縣太保市健康路183巷10弄33號,152.28,住,,,1090425,土地1建物0車位0,全,4,透天厝,集合住宅,鋼筋混凝土造,1010829,201.51,4,3,3,有,無,無,13829,69,,0.0,0,,RPVNMLMLNHPFFDQ67CC
水上鄉,房地(土地+建物),嘉義縣水上鄉中庄村中庄61之105號,103.35,,鄉村區,乙種建築用地,1090502,土地1建物0車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0820726,221.36,5,3,5,有,無,無,12000,54,,0.0,0,,RPTNMLSLNHPFFDQ08CC
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵一路二段97號3樓之7,0.0,住,,,1090518,土地1建物1車位1,三層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,178.3,3,2,2,有,有,有,35200,197,坡道平面,29.87,0,,RPUNMLTLNHPFFDQ28CC
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵一路二段97號3樓之5,0.0,住,,,1090515,土地1建物1車位1,三層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,176.6,3,2,2,有,有,有,35200,199,坡道平面,29.87,0,,RPVNMLTLNHPFFDQ38CC
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵一路二段97號5樓之1,0.0,住,,,1090518,土地1建物1車位1,五層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,182.26999999999998,3,2,2,有,有,有,35200,193,坡道平面,29.87,0,,RPUNMLPJOHPFFDQ77CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路139號2樓15,7.6,住,,,1090610,土地1建物1車位0,二層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,3800,122,,0.0,0,,RPVNMLKLOHPFFBQ37CC
大林鎮,房地(土地+建物),嘉義縣大林鎮興業西路183號,120.36,住,,,1090527,土地3建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0981126,193.62,4,2,2,有,無,無,12000,62,,0.0,0,,RPPNMLOLOHPFFCQ27CC
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵一路二段95號13樓之7,0.0,住,,,1090615,土地1建物1車位1,十三層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,175.72,2,2,2,有,有,有,37700,215,坡道平面,29.87,0,含管理費、稅金或水電等費用。；,RPTNMLKMOHPFFDQ47CC
