編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLSLNHPFFDQ08CC,中庄段,66.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,15260000
RPTNMLSLNHPFFDQ08CC,中庄段,37.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,15270000
RPTNMLKMOHPFFDQ47CC,太頂珠段,.00,都市：住,,,,00240004
RPTNMLMKNHPFFDQ37CC,寬士段,77.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00680000
RPUNMLTLNHPFFDQ28CC,太頂珠段,.00,都市：住,,,,00240004
RPVNMLTLNHPFFDQ38CC,太頂珠段,.00,都市：住,,,,00240004
RPVNMLKLOHPFFBQ37CC,嘉朴段,7.60,都市：住,,,,02620000
RPQNMLQKPHPFFBQ47CC,大鄉段,218.37,都市：住,,,,02830000
RPVNMLMLNHPFFDQ67CC,嘉保段,152.28,都市：住,,,,02130043
RPPNMLOJPHPFFBQ07CC,嘉朴段,7.60,都市：住,,,,02620000
RPXNMLLLPHPFFCQ08EC,菁埔段社溝小段,1943.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,03200010
RPUNMLPJOHPFFDQ77CC,太頂珠段,.00,都市：住,,,,00240004
RPPNMLOLOHPFFCQ27CC,新興段新興小段,11.62,都市：住,,,,01110025
RPPNMLOLOHPFFCQ27CC,新興段新興小段,16.56,都市：住,,,,01110006
RPPNMLOLOHPFFCQ27CC,新興段新興小段,92.18,都市：住,,,,01110027
RPRNMLRJPHPFFDQ77CC,太頂珠段,42.25,都市：住,,,,00240004
RPQNMLMKQHPFFDQ37CC,太頂珠段,.00,都市：住,,,,00240004
RPROMLQJPHPFFDQ77CC,嘉保段,2.46,都市：住,,,,00840000
RPROMLQJPHPFFDQ77CC,嘉保段,2.46,都市：住,,,,00840001
RPPNMLKLQHPFFDQ17CC,安仁段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03500000
RPPNMLKLQHPFFBQ96CC,嘉朴段,.00,非都市： ; 非都市編定：,,,,02620000
RPRNMLRJRHPFFDQ97CC,太頂珠段,.00,都市：住,,,,00240004
RPQNMLRJRHPFFBQ67CC,嘉朴段,12.27,都市：住,,,,02440000
RPRNMLRJRHPFFBQ77CC,嘉朴段,12.27,都市：住,,,,02440000
RPRNMLRKPHPFFBQ67CC,鎮安段,14.06,都市：住,,,,17980001
RPWNMLLLPHPFFCQ97EC,大崎段,840.40,非都市：鄉村區 ; 非都市編定：丁種建築用地,,,,15890005
RPWNMLLLPHPFFCQ97EC,大崎段,488.14,非都市：鄉村區 ; 非都市編定：丁種建築用地,,,,15890000
RPTOMLRKQHPFFBQ08CC,嘉朴段,128.29,都市：住,,,,01990005
RPPNMLRJRHPFFBQ57CC,文化段,194.00,都市：住,,,,05350004
RPPNMLSJQHPFFDQ77CC,安仁段,7.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00800000
RPROMLRKQHPFFBQ87CC,嘉朴段,15.20,都市：住,,,,02620000
