編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOKNHPFFAT96CA,,210.28,住家用,鋼筋混凝土造,109年1月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLNKNHPFFAT17CA,,210.16,住家用,鋼筋混凝土造,109年1月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPRNMLOKNHPFFAT17CA,,207.95,住家用,鋼筋混凝土造,109年1月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLOKNHPFFAT27CA,,207.95,住家用,鋼筋混凝土造,109年1月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLOKNHPFFAT07CA,,208.26,住家用,鋼筋混凝土造,109年1月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPOPMLTKNHPFFAT57CA,42,135.01,農舍,加強磚造,66年12月23日,二層,一層 二層
RPUNMLNKNHPFFAT37CA,50,190.80,住家用,鋼筋混凝土加強磚造,59年8月25日,二層,一層 二層
RPSNMLSLNHPFFAT77CA,38,63.84,住家用,加強磚造,70年10月24日,二層,一層 二層 騎樓
RPSNMLSLNHPFFAT77CA,38,63.84,住家用,加強磚造,70年10月24日,二層,一層 二層 騎樓
RPQOMLSKNHPFFCT77CA,,42.81,本共有部分之項目有停車空間、電信設備室、管委會使用空間、無障礙電梯、無障礙樓梯、樓梯間及電梯機房、梯廳、室內安全梯及水箱等十項。,鋼筋混凝土構造,108年10月25日,五層,
RPQOMLSKNHPFFCT77CA,,98.62,集合住宅,鋼筋混凝土構造,108年10月25日,五層,三層 陽台
RPTNMLNKNHPFFCT47CA,26,110.93,住家用,鋼筋混凝土造,83年1月20日,八層,四層 陽台
RPTNMLNKNHPFFCT47CA,26,57.88,地下室梯間水箱機械室,鋼筋混凝土造,83年1月20日,八層,
RPSNMLNKNHPFFCT37CA,44,27.80,住家用,加強磚造,65年6月30日,二層,一層 二層
RPRNMLMKNHPFFDT27CA,26,187.36,店鋪，住宅,鋼筋混凝土造,83年6月17日,四層,一層 二層 三層 四層 陽台 平台 騎樓
RPQNMLLJOHPFFET17CA,35,94.00,住商用,加強磚造,74年6月29日,二層,一層 二層 騎樓
RPPNMLNKNHPFFDT17CA,2,149.81,集合住宅,鋼筋混凝土構造,107年7月31日,五層,五層 陽台 見其他登記事項
RPPNMLNKNHPFFDT17CA,2,46.42,本共有部分之項目有停車空間、公共梯間、電信機房、樓梯間、電機機械房等５項,鋼筋混凝土構造,107年7月31日,五層,
RPPNMLMLNHPFFFT37CA,1,162.38,集合住宅,鋼筋混凝土造,108年2月1日,三層,一層 二層 三層 陽台
RPPNMLQLNHPFFET67CA,30,193.29,住家用,鋼筋混凝土造,78年12月8日,三層,一層 二層 三層
RPRNMLNLNHPFFET57CA,41,223.20,住商用,鋼筋混凝土造,68年7月10日,三層,一層 二層 三層 騎樓 夾層
RPOOMLNKNHPFFDT17CA,2,108.87,集合住宅,鋼筋混凝土構造,107年8月27日,五層,三層 陽台
RPOOMLNKNHPFFDT17CA,2,35.35,本共有部分之項目有停車空間、樓梯間等２項,鋼筋混凝土構造,107年8月27日,五層,
RPRNMLOKNHPFFCT37CA,1,91.17,集合住宅,鋼筋混凝土構造,108年2月23日,五層,二層 陽台
RPRNMLOKNHPFFCT37CA,1,39.60,本共有部分之項目有停車空間、公共梯間、樓梯間及電梯機械室等四項。,鋼筋混凝土構造,108年2月23日,五層,
RPRNMLKLNHPFFCT07CA,6,160.94,停車空間、住宅,鋼筋混凝土構造,102年12月24日,三層,一層 二層 三層 陽台 見其他登記事項
RPPOMLSKNHPFFBT57CA,,191.66,住家用,鋼筋混凝土造,109年1月8日,三層,一層 二層 三層 陽台
RPWNMLSKNHPFFBT18CA,,177.16,住宅,鋼筋混凝土造,109年3月4日,三層,一層 二層 三層 陽台 見其他登記事項
RPSNMLNKNHPFFBT27CA,,296.55,住宅,鋼筋混凝土造,109年3月2日,四層,一層 二層 三層 四層 陽台
RPUNMLNKNHPFFBT47CA,,296.55,住宅,鋼筋混凝土造,109年3月2日,四層,一層 二層 三層 四層 陽台
RPWNMLTKNHPFFAT18CA,20,103.28,住家用,鋼筋混凝土造,89年3月31日,六層,五層 陽台
RPWNMLTKNHPFFAT18CA,20,46.55,防空避難室兼停車空間、梯間、國民住宅,鋼筋混凝土造,89年3月31日,六層,
RPWNMLNKNHPFFBT67CA,,240.94,住宅,鋼筋混凝土造,109年3月2日,三層,一層 二層 三層 陽台 見其他登記事項
RPRNMLOKNHPFFBT27CA,27,143.13,住家用,鋼筋混凝土造,82年8月5日,三層,一層 二層 三層 陽台 屋頂突出物
RPTNMLNKNHPFFAT27CA,39,88.40,住家用,鋼筋混凝土造,70年3月5日,二層,一層 二層
RPTOMLNKNHPFFAT37CA,26,170.91,住家用,鋼筋混凝土造,83年5月21日,四層,一層 二層 三層 四層
RPWOMLMKNHPFFAT57CA,38,64.25,公寓,鋼筋混凝土造,70年12月21日,五層,二層
RPXOMLMKNHPFFAT67CA,36,68.40,住家用,鋼筋混凝土造,72年11月30日,五層,五層
RPXOMLMKNHPFFAT67CA,36,9.97,共有部份,鋼筋混凝土造,72年11月30日,,
