編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLSKNHPFFCT77CA,一樓平面,0,,
RPTNMLNKNHPFFCT47CA,坡道平面,0,,
RPPNMLNKNHPFFDT17CA,一樓平面,0,,
RPOOMLNKNHPFFDT17CA,一樓平面,0,,
RPRNMLOKNHPFFCT37CA,一樓平面,0,,
RPQPMLOJOHPFFAT27CA,坡道平面,0,,
RPSOMLPKNHPFFCT67CA,坡道平面,0,,
RPQOMLLLNHPFFAT96CA,坡道平面,0,,
RPUOMLRLNHPFFAT97CA,坡道平面,0,,
RPXNMLMLNHPFFAT67CA,坡道平面,700000,24.01,
RPPNMLQLNHPFFCT47CA,一樓平面,0,,
RPWNMLTLNHPFFAT28CA,坡道平面,0,20.12,
RPUNMLMLNHPFFAT37CA,一樓平面,0,,
RPUNMLMLNHPFFAT37CA,一樓平面,0,,
RPWNMLPLNHPFFAT87CA,坡道平面,650000,,
RPQPMLQKOHPFFCT77CA,一樓平面,0,,
RPVOMLMKOHPFFCT77CA,一樓平面,0,,
RPPOMLMKOHPFFCT17CA,一樓平面,0,,
RPROMLLKOHPFFCT27CA,一樓平面,0,,
RPQOMLMKOHPFFCT27CA,一樓平面,0,,
RPSOMLMKOHPFFCT47CA,一樓平面,0,,
RPTNMLPJOHPFFAT47CA,一樓平面,0,,
RPSNMLTLNHPFFAT87CA,坡道平面,0,,
RPQNMLSLNHPFFAT57CA,坡道平面,0,,
RPPNMLTLNHPFFCT77CA,一樓平面,0,,
RPTNMLTLNHPFFAT08DA,坡道平面,0,,
RPSNMLLJOHPFFAT96CA,坡道平面,0,24.01,
RPOPMLMJOHPFFAT86CA,坡道平面,0,,
RPXNMLSJOHPFFDT48CA,坡道平面,0,,
RPUNMLNJOHPFFAT37CA,坡道平面,0,,
RPQNMLNJOHPFFAT96CA,坡道平面,0,,
RPOOMLMKOHPFFCT07CA,一樓平面,0,,
RPUOMLMKOHPFFCT67CA,一樓平面,0,,
RPPNMLOJOHPFFCT17CA,坡道平面,0,,
RPSNMLTJPHPFFCT08CA,一樓平面,0,,
RPROMLKMOHPFFCT37CA,一樓平面,0,,
RPQNMLNJOHPFFET37CA,一樓平面,0,,
RPOOMLSKOHPFFAT47CA,坡道平面,0,,
RPSOMLKMOHPFFAT27CA,一樓平面,0,,
RPPNMLRJOHPFFAT27CA,一樓平面,1000000,,
RPTNMLSJOHPFFAT77CA,坡道平面,0,,
RPOPMLPJOHPFFAT17CA,坡道平面,715000,24.01,
RPRNMLSJOHPFFAT57CA,坡道平面,0,,
RPSOMLPKOHPFFAT57CA,一樓平面,0,,
RPPNMLPKOHPFFDT47CA,升降機械,0,,
RPQNMLRJOHPFFAT37CA,一樓平面,1000000,,
RPWOMLQKOHPFFAT08CA,坡道平面,0,,
RPUNMLRKOHPFFCT08CA,一樓平面,0,,
RPSOMLLKOHPFFCT37CA,一樓平面,0,,
RPQOMLLKOHPFFAT07DA,坡道平面,0,,
RPQNMLRJPHPFFAT57DA,一樓平面,0,,
RPUNMLMKOHPFFCT57CA,坡道平面,0,,
RPUPMLPKOHPFFAT87CA,坡道平面,0,,
RPWNMLRKOHPFFAT08CA,升降機械,0,,
RPPNMLLJPHPFFAT76CA,一樓平面,0,,
RPQPMLTKOHPFFAT87CA,坡道平面,0,,
RPRPMLTKOHPFFAT97CA,坡道機械,0,,
RPWNMLTKOHPFFCT48CA,一樓平面,0,,
RPOPMLMLOHPFFAT07CA,坡道平面,0,,
RPPPMLMLOHPFFAT17CA,坡道平面,0,,
RPTPMLMLOHPFFAT57CA,坡道平面,0,,
RPQPMLMLOHPFFAT27CA,坡道平面,0,,
RPWPMLMLOHPFFAT87CA,坡道平面,0,,
RPUPMLMLOHPFFAT67CA,坡道平面,0,,
RPOQMLMLOHPFFAT17CA,坡道平面,0,,
RPVPMLMLOHPFFAT77CA,坡道平面,0,,
RPPQMLMLOHPFFAT27CA,坡道平面,0,,
RPUOMLMJPHPFFAT47CA,一樓平面,0,,
RPXNMLNLOHPFFDT18CA,其他,0,,
RPTNMLTLOHPFFCT28CA,坡道機械,0,,
RPPOMLMJPHPFFAT96CA,一樓平面,0,,
RPXNMLMJPHPFFAT67CA,一樓平面,0,,
RPVNMLMJPHPFFAT47CA,一樓平面,0,,
RPXOMLMJPHPFFAT77CA,一樓平面,0,,
RPQOMLLJPHPFFAT96CA,坡道平面,0,,
RPQNMLKMOHPFFAT96CA,坡道平面,0,,
RPQNMLOLOHPFFAT27CA,坡道平面,0,,
RPSOMLOKPHPFFCT77CA,坡道平面,0,,
RPVOMLOLOHPFFCT08CA,坡道平面,0,,
RPUPMLOKPHPFFAT87CA,坡道平面,0,,
RPPPMLTLOHPFFAT87CA,一樓平面,0,,
RPQNMLLJPHPFFAT86CA,一樓平面,0,,
RPRNMLLJPHPFFAT96CA,一樓平面,0,,
RPWPMLKMOHPFFAT77CA,坡道平面,0,,
RPOPMLLJPHPFFAT86CA,坡道平面,0,,
RPXPMLMJPHPFFCT08CA,坡道平面,0,,
RPQOMLOLPHPFFAT47CA,坡道平面,450000,24.01,
RPWOMLMJPHPFFAT67CA,坡道平面,0,,
RPPQMLKMOHPFFAT17CA,坡道平面,0,,
RPPQMLLJPHPFFAT07CA,坡道平面,0,,
RPTQMLRJPHPFFAT08CA,一樓平面,0,,
RPRRMLNJPHPFFAT57CA,坡道平面,0,,
RPROMLNJPHPFFCT47CA,一樓平面,0,,
RPSOMLNJPHPFFCT57CA,一樓平面,0,,
RPOOMLMJPHPFFAT86CA,坡道平面,0,,
RPTOMLNJPHPFFCT67CA,一樓平面,0,,
RPUOMLNJPHPFFCT77CA,一樓平面,0,,
RPVNMLNLPHPFFAT77CA,一樓平面,0,,
RPWNMLTKJHGGFAT96CA,一樓平面,0,,
RPXSMLMJPHPFFAT18CA,坡道機械,0,,
RPVQMLRJPHPFFAT28CA,一樓平面,0,,
RPORMLRJPHPFFAT67CA,坡道平面,0,,
RPSOMLQJPHPFFAT67CA,坡道平面,0,,
RPQOMLLLPHPFFAT17CA,一樓平面,0,,
RPSOMLLLPHPFFAT37CA,一樓平面,0,,
RPROMLLLPHPFFAT27CA,一樓平面,0,,
RPPOMLLLPHPFFAT07CA,一樓平面,0,,
RPTOMLLLPHPFFAT47CA,一樓平面,0,,
RPWPMLLJPHPFFAT77DA,坡道機械,0,,地下一樓
RPSRMLMJPHPFFAT77EA,一樓平面,0,,一樓
RPQOMLNJPHPFFCT47DA,坡道平面,0,,地下一樓
RPUNMLRJPHPFFCT18DA,坡道平面,0,,地下一樓
RPOQMLNJPHPFFAT37EA,坡道平面,0,,地下一樓
RPXQMLNJPHPFFAT28EA,一樓平面,0,,一樓
RPUQMLNJPHPFFAT97EA,坡道平面,0,,地下一樓
RPWQMLQJPHPFFAT38DA,一樓平面,1000000,,一樓
RPXOMLQJPHPFFAT28DA,一樓平面,0,,一樓
RPPPMLMJPHPFFAT17DA,坡道平面,0,,地下一樓
RPPPMLMJPHPFFAT17DA,坡道機械,0,,地下二樓
RPQNMLQJPHPFFCT67DA,一樓平面,0,,一樓
RPVNMLRJPHPFFCT28DA,一樓平面,0,,一樓
RPTQMLQJPHPFFAT08DA,一樓平面,0,,一樓
RPTPMLRJPHPFFAT08DA,一樓平面,0,,一樓
RPUPMLRJPHPFFAT18DA,一樓平面,0,,一樓
RPQQMLRJPHPFFAT87DA,一樓平面,0,,一樓
RPSNMLRJPHPFFAT87EA,一樓平面,0,,一樓
RPRNMLRJPHPFFAT77EA,坡道平面,0,26.23,一樓
RPQOMLSJPHPFFAT87EA,坡道平面,0,24.00,地下一樓
RPOPMLRJPHPFFCT87EA,一樓平面,0,,一樓
RPPPMLRJPHPFFCT97EA,一樓平面,0,,一樓
RPWNMLTJPHPFFAT48EA,一樓平面,0,,一樓
RPXPMLQJPHPFFAT38DA,坡道平面,0,,地下一樓
RPQPMLKKPHPFFAT27EA,一樓平面,0,,一樓
RPSPMLKKPHPFFAT47EA,坡道平面,660000,24.00,地下一樓
RPOOMLTJPHPFFAT77EA,一樓平面,0,,一樓
RPUOMLTJPHPFFCT48DA,一樓平面,0,,一樓
RPWOMLRJPHPFFCT58EA,一樓平面,0,,一樓
RPVOMLTJPHPFFCT58DA,一樓平面,0,,一樓
RPRPMLKKPHPFFCT47DA,一樓平面,0,,一樓
RPQPMLOKPHPFFAT57DA,一樓平面,1000000,,一樓
RPPPMLOKPHPFFAT47DA,一樓平面,1000000,,一樓
RPRPMLOKPHPFFAT67DA,一樓平面,1000000,,一樓
RPTPMLOKPHPFFAT87DA,一樓平面,1000000,,一樓
RPOOMLNKPHPFFAT27EA,一樓平面,0,,一樓
RPOPMLOKPHPFFAT47EA,升降機械,0,,地下一樓
RPTOMLPKPHPFFCT18EA,一樓平面,0,,一樓
RPWNMLPKPHPFFCT28DA,一樓平面,0,,一樓
RPUQMLOKPHPFFAT18EA,一樓平面,0,,一樓
RPQQMLOKPHPFFAT77EA,一樓平面,0,,一樓
RPSNMLQKPHPFFAT77DA,坡道平面,0,,一樓
RPWOMLQKPHPFFAT38EA,一樓平面,0,,一樓
RPVOMLQKPHPFFAT28EA,一樓平面,0,,一樓
RPQOMLPKPHPFFCT87EA,一樓平面,0,,一樓
RPROMLPKPHPFFCT97EA,一樓平面,0,,一樓
RPOOMLRKPHPFFAT57DA,坡道平面,0,24.00,地下一樓
RPVNMLKLPHPFFAT57DA,升降機械,0,,地下一樓
RPQOMLKLPHPFFCT37DA,坡道機械,0,,地下一樓
RPPNMLOKPHPFFCT47DA,坡道平面,0,,地下一樓
