編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMKNHPFFAU96CA,國光段,64.00,都市：商,1,1,全筆移轉,00460007
RPQNMLMKNHPFFAU96CA,國光段,3.62,都市：商,10000,441,持分移轉,00460018
RPQNMLMKNHPFFAU96CA,國光段,20.20,都市：商,10000,441,持分移轉,00460027
RPQOMLMKNHPFFAU07CA,嘉平段,97.00,都市：住,1,1,全筆移轉,13040007
RPOPMLMKNHPFFAU96CA,主商段,13.66,都市：商,100000,650,持分移轉,07070000
RPPPMLMKNHPFFAU07CA,主商段,13.64,都市：商,100000,649,持分移轉,07070000
RPPQMLOJOHPFFAU37CA,富國段,8.40,都市：住,10000,70,持分移轉,01900000
RPQOMLTJOHPFFAU77CA,德安段,122.96,都市：住,1,1,全筆移轉,12800002
RPROMLTJOHPFFAU87CA,德安段,268.00,都市：住,1,1,全筆移轉,12820000
RPQPMLMKNHPFFAU17CA,民意段,10.60,都市：住,10000,34,持分移轉,08190000
RPROMLLKOHPFFAU17CA,佳民段,2622.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11040003
RPTNMLNKNHPFFAU37CA,民孝段,41.35,都市：住,100000,587,持分移轉,00690000
RPUNMLOJOHPFFAU57CA,豐東段,5187.65,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06960000
RPRNMLPJOHPFFBU47CA,阿托莫段,824.86,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,11350000
RPSNMLMKNHPFFBU27CA,鳳信段,422.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00490000
RPQNMLLKNHPFFBU07DA,大安段,83.00,都市：住,1,1,全筆移轉,16890032
RPOOMLNKNHPFFAU17EA,德姆南段,3215.57,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,11030000
RPPNMLOKNHPFFAU07CA,慶豐段,81.00,都市：住,1,1,全筆移轉,18400012
RPPNMLMJOHPFFBU17EA,東興段,4071.63,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,00920000
RPSOMLOKNHPFFAU47CA,仁禮段,34.58,都市：商,1000,52,持分移轉,08090000
RPWNMLSJOHPFFAU18CA,德安段,23.18,都市：住,10000,71,持分移轉,20210000
RPRNMLTJOHPFFAU77CA,嘉南段,169.00,都市：住,1,1,全筆移轉,00670000
RPPPMLOKNHPFFAU47EA,德姆南段,25001.02,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,16150000
