鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
台東市,房地(土地+建物),臺東縣臺東市興航街106號,203.95,住,,,1090429,土地1建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1030616,287.8,4,2,5,有,無,無,33800,117,,0.0,0,,RPQNMLLKNHPFFAV17CC
台東市,房地(土地+建物),臺東縣臺東市新生路702號,120.0,住,,,1090515,土地1建物1車位0,全,2,透天厝,住家用,見其他登記事項,0630624,45.36,0,2,1,有,無,無,16000,353,,0.0,0,,RPTNMLKLNHPFFAV47CC
台東市,房地(土地+建物),臺東縣臺東市四維路三段232號1樓,108.7,住,,,1090430,土地2建物1車位0,一層,3,店面(店鋪),見其他登記事項,見其他登記事項,1030417,50.4,0,1,1,有,無,有,16000,317,,0.0,0,,RPWNMLKLNHPFFAV77CC
台東市,房地(土地+建物),臺東縣臺東市漢陽北路169巷64弄12衖11號,108.48,住,,,1090302,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,1040916,71.55,1,0,1,有,無,有,7500,105,,0.0,0,,RPVNMLLLNHPFFAV77CC
台東市,房地(土地+建物)+車位,臺東縣臺東市常德路13號,215.0,住,,,1090321,土地2建物1車位0,全,3,透天厝,見其他登記事項,見其他登記事項,1060206,141.08,1,0,1,有,無,有,7500,53,一樓平面,0.0,500,依年繳捌萬元，車位年繳伍仟元正。,RPOOMLLLNHPFFAV17CC
台東市,建物,臺東縣臺東市新站路55巷26號,193.91,住,,,1090605,土地1建物0車位0,全,3,透天厝,住宅,ＲＣ造,0960910,253.55,4,2,4,有,無,無,34056,134,,0.0,0,,RPRNMLPJOHPFFAV67CC
台東市,房地(土地+建物),臺東縣臺東市中華路一段302號,170.0,住,,,1090702,土地1建物0車位0,全,3,透天厝,店鋪、住家,磚造、加強磚造、ＲＣ磚造,0511018,309.3,0,0,3,有,無,無,35000,113,,0.0,0,租期109.8.1-112.7.31,RPSNMLRJPHPFFAV08CC
台東市,房地(土地+建物),臺東縣臺東市志航路1段412巷26弄19號,250.78,住,,,1090619,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0930305,203.18,4,2,3,有,無,無,11000,54,,0.0,0,,RPSPMLTJPHPFFAV58DC
卑南鄉,房地(土地+建物),臺東縣卑南鄉賓朗路281號,242.77,,特定農業區,甲種建築用地,1090702,土地1建物0車位0,全,2,透天厝,住家用,鋼鐵造,0730715,192.1,5,2,2,有,無,無,12000,62,,0.0,0,,RPTPMLTJPHPFFAV68DC
台東市,房地(土地+建物),臺東縣臺東市更生路631號,82.0,住,,,1090720,土地1建物0車位0,見其他登記事項,3,店面(店鋪),住家用,鋼筋混凝土造,0700707,200.66,0,0,0,無,無,無,18000,90,,0.0,0,,RPSNMLNLPHPFFAV87CC
台東市,房地(土地+建物),臺東縣臺東市貴陽街124巷50號,32.79,住,,,1090722,土地1建物0車位0,二層,2,套房(1房1廳1衛),住家用,見其他登記事項,0630230,26.53,2,0,2,有,有,有,14000,528,,0.0,0,,RPWNMLRLPHPFFAV68CC
台東市,房地(土地+建物),臺東縣臺東市開封街302號,468.0,住,,,1090811,土地1建物0車位0,見其他登記事項,1,店面(店鋪),飲食店,有牆鋼架造,0871110,292.48,0,0,2,有,無,無,60000,205,,0.0,0,,RPXNMLOKQHPFFAV48CC
台東市,房地(土地+建物),臺東縣臺東市太原路二段68巷19號3-5室,24.0,住,,,1090907,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,1020402,24.0,1,0,1,有,無,有,6000,250,,0.0,0,,RPTNMLSJRHPFFAV48CC
