編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLLKNHPFFAV17CC,6,287.80,住家用,鋼筋混凝土造,103年6月16日,四層,
RPTNMLKLNHPFFAV47CC,46,45.36,住家用,鐵筋水泥磚,63年6月24日,二層,
RPWNMLKLNHPFFAV77CC,6,50.40,住宅、騎樓、樓梯間、店舖,ＲＣ造,103年4月17日,三層,
RPWNMLRLPHPFFAV68CC,46,26.53,住家用,鐵筋水泥磚,63年2月30日,二層,
RPXNMLOKQHPFFAV48CC,22,292.48,飲食店,有牆鋼架造,87年11月10日,一層,
RPTNMLSJRHPFFAV48CC,7,24.00,住家用,ＲＣ造,102年4月2日,三層,
RPVNMLLLNHPFFAV77CC,4,71.55,住家用,ＲＣ造,104年9月16日,三層,
RPOOMLLLNHPFFAV17CC,3,141.08,騎樓、住宅、樓梯間,ＲＣ造,106年2月6日,三層,
RPRNMLPJOHPFFAV67CC,13,253.55,住宅,ＲＣ造,96年9月10日,三層,
RPSNMLRJPHPFFAV08CC,58,309.30,店鋪、住家,磚造、加強磚造、ＲＣ磚造,51年10月18日,三層,
RPSPMLTJPHPFFAV58DC,16,203.18,住家用,鋼筋混凝土造,93年3月5日,三層,
RPTPMLTJPHPFFAV68DC,36,192.10,住家用,鋼鐵造,73年7月15日,,
RPSNMLNLPHPFFAV87CC,39,200.66,住家用,鋼筋混凝土造,70年7月7日,三層,
