編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLOKNHPFFAW57CA,坡道平面,0,32.05,
RPPNMLSLNHPFFAW77CA,坡道平面,0,12.30,
RPROMLNLOHPFFAW67CA,坡道平面,1000000,36.10,
RPUNMLOLOHPFFAW97CA,坡道平面,1000000,36.10,
RPSOMLNLOHPFFAW77CA,坡道平面,1000000,36.10,
RPVNMLQKPHPFFAW28CA,坡道平面,1000000,31.19,
RPPNMLSLPHPFFAW08DA,坡道平面,1000000,36.10,地下二樓
RPPNMLQJQHPFFAW77DA,坡道平面,0,13.76,地下一樓
RPTNMLOJQHPFFAW97DA,坡道平面,1000000,36.10,地下二樓
RPQNMLTKQHPFFAW28DA,坡道平面,0,19.95,地下一樓
RPROMLSKQHPFFAW38DA,坡道平面,0,26.94,地下一樓
RPQNMLSLQHPFFAW28DA,坡道平面,0,14.00,地下一樓
RPPNMLSLQHPFFAW18DA,坡道平面,0,14.00,地下一樓
