編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLSLRHPFFBC66CB,中正段三小段,8.91,都市：商,100000,1589,持分移轉,00070000
RPSOMLSLRHPFFBC76CB,中正段三小段,29.51,都市：商,100000,1589,持分移轉,00070000
RPTOMLSLRHPFFBC86CB,中正段三小段,29.14,都市：商,100000,1569,持分移轉,00070000
RPUOMLSLRHPFFBC96CB,中正段三小段,29.14,都市：商,100000,1569,持分移轉,00070000
RPQOMLSLRHPFFBC56CB,中正段三小段,29.51,都市：商,100000,1589,持分移轉,00070000
RPPOMLSLRHPFFBC09CB,中正段三小段,29.14,都市：商,100000,1569,持分移轉,00070000
RPXOMLSLRHPFFBC27CB,中正段三小段,29.14,都市：商,100000,1569,持分移轉,00070000
RPVOMLSLRHPFFBC07CB,中正段三小段,29.14,都市：商,100000,1569,持分移轉,00070000
RPOPMLSLRHPFFBC09CB,中正段三小段,29.51,都市：商,100000,1589,持分移轉,00070000
RPWOMLSLRHPFFBC17CB,中正段三小段,29.51,都市：商,100000,1589,持分移轉,00070000
RPPPMLSLRHPFFBC56CB,中正段三小段,29.51,都市：商,100000,1589,持分移轉,00070000
RPRPMLSLRHPFFBC76CB,中正段三小段,29.51,都市：商,100000,1589,持分移轉,00070000
RPSPMLSLRHPFFBC86CB,中正段三小段,29.14,都市：商,100000,1569,持分移轉,00070000
RPQPMLSLRHPFFBC66CB,中正段三小段,29.51,都市：商,100000,1589,持分移轉,00070000
RPTPMLSLRHPFFBC96CB,中正段三小段,29.14,都市：商,100000,1569,持分移轉,00070000
RPWPMLSLRHPFFBC27CB,中正段三小段,28.45,都市：商,100000,1532,持分移轉,00070000
RPUPMLSLRHPFFBC07CB,中正段三小段,28.93,都市：商,100000,1558,持分移轉,00070000
RPVPMLSLRHPFFBC17CB,中正段三小段,28.93,都市：商,100000,1558,持分移轉,00070000
RPOQMLSLRHPFFBC56CB,中正段三小段,29.30,都市：商,100000,1578,持分移轉,00070000
RPXPMLSLRHPFFBC37CB,中正段三小段,28.45,都市：商,100000,1532,持分移轉,00070000
RPSQMLSLRHPFFBC96CB,中正段三小段,28.93,都市：商,100000,1558,持分移轉,00070000
RPRQMLSLRHPFFBC86CB,中正段三小段,29.30,都市：商,100000,1578,持分移轉,00070000
RPPQMLSLRHPFFBC66CB,中正段三小段,24.73,都市：商,100000,1558,持分移轉,00070000
RPQQMLSLRHPFFBC76CB,中正段三小段,28.93,都市：商,100000,1558,持分移轉,00070000
RPTQMLSLRHPFFBC07CB,中正段三小段,28.93,都市：商,100000,1558,持分移轉,00070000
RPUQMLSLRHPFFBC17CB,中正段三小段,29.30,都市：商,100000,1578,持分移轉,00070000
RPVQMLSLRHPFFBC27CB,中正段三小段,29.30,都市：商,100000,1578,持分移轉,00070000
RPWQMLSLRHPFFBC37CB,中正段三小段,29.30,都市：商,100000,1578,持分移轉,00070000
RPXQMLSLRHPFFBC47CB,中正段三小段,28.93,都市：商,100000,1558,持分移轉,00070000
RPPRMLSLRHPFFBC76CB,中正段三小段,29.30,都市：商,100000,1578,持分移轉,00070000
RPORMLSLRHPFFBC66CB,中正段三小段,28.93,都市：商,100000,1558,持分移轉,00070000
RPRRMLSLRHPFFBC96CB,中正段三小段,20.09,都市：商,100000,1082,持分移轉,00070000
RPQRMLSLRHPFFBC86CB,中正段三小段,29.32,都市：商,100000,1579,持分移轉,00070000
