編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLLKRHPFFKD96CB,坡道平面,1500000,36.72,地下一樓
RPSNMLLKRHPFFKD86CB,坡道平面,1400000,36.72,地下二樓
RPSOMLLKRHPFFKD96CB,坡道平面,1400000,36.72,地下二樓
RPRNMLLKRHPFFKD76CB,坡道平面,1500000,36.72,地下一樓
RPVOMLLKRHPFFKD27CB,坡道平面,1500000,36.72,地下一樓
RPVNMLLKRHPFFKD17CB,坡道平面,1300000,36.72,地下三樓
RPUOMLLKRHPFFKD17CB,坡道平面,1400000,36.72,地下二樓
RPXOMLLKRHPFFKD47CB,坡道平面,1300000,36.72,地下三樓
RPWOMLLKRHPFFKD37CB,坡道平面,1300000,36.72,地下三樓
RPRPMLLKRHPFFKD96CB,坡道平面,1400000,36.72,地下二樓
RPUPMLLKRHPFFKD27CB,坡道平面,1500000,36.72,地下一樓
RPTPMLLKRHPFFKD17CB,坡道平面,1300000,36.72,地下三樓
RPVPMLLKRHPFFKD37CB,坡道平面,1500000,36.72,地下一樓
RPRQMLLKRHPFFKD07CB,坡道平面,1400000,36.72,地下二樓
RPUQMLLKRHPFFKD37CB,坡道平面,1300000,36.72,地下三樓
RPVQMLLKRHPFFKD47CB,坡道平面,1300000,36.72,地下三樓
RPQQMLLKRHPFFKD96CB,坡道平面,1400000,36.72,地下二樓
RPWPMLLKRHPFFKD47CB,坡道平面,1500000,36.72,地下一樓
RPPQMLLKRHPFFKD86CB,坡道平面,1400000,36.72,地下二樓
RPSQMLLKRHPFFKD17CB,坡道平面,1300000,36.72,地下三樓
RPOOMLLKRHPFFKD66DB,坡道平面,1300000,36.72,地下三樓
RPTPMLPKRHPFFKD57CB,坡道平面,990000,36.72,地下三樓
RPWQMLLKRHPFFKD57CB,坡道平面,1400000,36.72,地下二樓
RPUPMLPKRHPFFKD67CB,坡道平面,1300000,36.72,地下三樓
RPQOMLLKRHPFFKD86DB,坡道平面,1300000,36.72,地下三樓
RPXPMLPKRHPFFKD97CB,坡道平面,1500000,36.72,地下一樓
RPROMLLKRHPFFKD96DB,坡道平面,1300000,36.72,地下三樓
RPWPMLPKRHPFFKD87CB,坡道平面,1400000,36.72,地下二樓
RPRPMLPKRHPFFKD37CB,坡道平面,1300000,36.72,地下三樓
RPVPMLPKRHPFFKD77CB,坡道平面,1400000,36.72,地下二樓
RPOQMLPKRHPFFKD17CB,坡道平面,1300000,36.72,地下三樓
RPPQMLPKRHPFFKD27CB,坡道平面,1300000,36.72,地下三樓
RPTOMLRKRHPFFKD67CB,坡道平面,1400000,36.72,地下二樓
RPRQMLPKRHPFFKD47CB,坡道平面,1500000,36.72,地下一樓
RPWNMLRKRHPFFKD87CB,坡道平面,990000,36.72,地下三樓
RPVOMLRKRHPFFKD87CB,坡道平面,1500000,36.72,地下一樓
RPWOMLRKRHPFFKD97CB,坡道平面,1500000,36.72,地下一樓
RPUOMLRKRHPFFKD77CB,坡道平面,1300000,36.72,地下三樓
RPRPMLRKRHPFFKD57CB,坡道平面,1300000,36.72,地下三樓
RPXOMLRKRHPFFKD08CB,坡道平面,1500000,36.72,地下一樓
RPOPMLRKRHPFFKD27CB,坡道平面,1400000,36.72,地下二樓
RPPPMLRKRHPFFKD37CB,坡道平面,1300000,36.72,地下三樓
