編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPWOMLTJJIPFFCE66CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPXOMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPPPMLTJJIPFFCE68CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPRPMLTJJIPFFCE88CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPQPMLTJJIPFFCE78CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPSPMLTJJIPFFCE98CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPUPMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPTPMLTJJIPFFCE09CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPVPMLTJJIPFFCE66CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPXPMLTJJIPFFCE86CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPWPMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPOQMLTJJIPFFCE68CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPPQMLTJJIPFFCE78CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPVQMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPTQMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPXQMLTJJIPFFCE96CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPQQMLTJJIPFFCE88CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPQRMLTJJIPFFCE98CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPRQMLTJJIPFFCE98CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPPRMLTJJIPFFCE88CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPSRMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPRRMLTJJIPFFCE09CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPVRMLTJJIPFFCE86CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPWRMLTJJIPFFCE96CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPURMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPPSMLTJJIPFFCE98CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPOSMLTJJIPFFCE88CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPTRMLTJJIPFFCE66CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPQSMLTJJIPFFCE09CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPSSMLTJJIPFFCE66CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPXRMLTJJIPFFCE07CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPTSMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPRSMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPOTMLTJJIPFFCE98CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPPTMLTJJIPFFCE09CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPWSMLTJJIPFFCE07CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPQTMLTJJIPFFCE56CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPVSMLTJJIPFFCE96CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPUSMLTJJIPFFCE86CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPXSMLTJJIPFFCE17CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPSTMLTJJIPFFCE76CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPTTMLTJJIPFFCE86CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPUTMLTJJIPFFCE96CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPXTMLTJJIPFFCE27CB,獅甲段三小段,10.48,都市：商,100000,225,持分移轉,05990000
RPOUMLTJJIPFFCE09CB,獅甲段三小段,10.48,都市：商,100000,225,持分移轉,05990000
RPRTMLTJJIPFFCE66CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPSUMLTJJIPFFCE86CB,獅甲段三小段,10.48,都市：商,100000,225,持分移轉,05990000
RPWTMLTJJIPFFCE17CB,獅甲段三小段,13.78,都市：商,100000,296,持分移轉,05990000
RPVTMLTJJIPFFCE07CB,獅甲段三小段,10.48,都市：商,100000,225,持分移轉,05990000
RPTUMLTJJIPFFCE96CB,獅甲段三小段,10.48,都市：商,100000,225,持分移轉,05990000
RPPUMLTJJIPFFCE56CB,獅甲段三小段,10.48,都市：商,100000,225,持分移轉,05990000
RPVUMLTJJIPFFCE17CB,獅甲段三小段,10.48,都市：商,100000,225,持分移轉,05990000
RPRUMLTJJIPFFCE76CB,獅甲段三小段,10.48,都市：商,100000,225,持分移轉,05990000
