編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLLKRHPFFAF88CB,坡道平面,1950000,38.98,地下五樓含以下
RPTNMLLKRHPFFDF09CB,坡道平面,1900000,32.53,
RPSNMLLKRHPFFDF98CB,坡道平面,2000000,28.45,
RPWNMLLKRHPFFDF76CB,坡道平面,1900000,28.45,
RPUNMLLKRHPFFDF56CB,坡道機械,1100000,32.53,
RPVNMLLKRHPFFDF66CB,坡道機械,1100000,32.53,
RPOOMLLKRHPFFDF68CB,坡道機械,1100000,29.47,
RPXNMLLKRHPFFDF86CB,坡道機械,1100000,29.47,
RPQOMLLKRHPFFDF88CB,坡道機械,1100000,29.47,
RPPOMLLKRHPFFDF78CB,坡道機械,1100000,29.47,
RPTOMLQKRHPFFCF96CB,坡道平面,2400000,33.06,地下三樓
RPROMLQKRHPFFCF76CB,坡道平面,2500000,33.06,地下二樓
RPUOMLQKRHPFFCF07CB,坡道平面,2500000,33.06,地下二樓
RPSOMLQKRHPFFCF86CB,坡道平面,2400000,33.06,地下三樓
RPVOMLQKRHPFFCF17CB,坡道平面,2400000,33.06,地下三樓
RPVNMLNLRHPFFEF07CB,坡道平面,1450000,40.09,地下四樓
RPOOMLNLRHPFFEF09CB,坡道平面,1150000,40.09,地下四樓
RPVOMLNLRHPFFEF17CB,坡道平面,1400000,40.09,地下三樓
RPTOMLNLRHPFFEF96CB,坡道平面,1400000,40.09,地下三樓
RPRPMLNLRHPFFEF86CB,坡道平面,1700000,40.09,地下二樓
RPOPMLNLRHPFFEF56CB,坡道平面,1400000,40.09,地下四樓
RPWPMLNLRHPFFEF37CB,坡道平面,1350000,40.09,地下二樓
RPSPMLNLRHPFFEF96CB,坡道平面,1850000,40.09,地下一樓
RPPQMLNLRHPFFEF76CB,坡道平面,1550000,40.09,地下二樓
RPUQMLNLRHPFFEF27CB,坡道平面,1150000,40.09,地下四樓
RPWQMLNLRHPFFEF47CB,坡道平面,1450000,40.09,地下四樓
RPSQMLNLRHPFFEF07CB,坡道平面,1500000,40.09,地下二樓
RPSQMLNLRHPFFEF07CB,坡道平面,1600000,40.09,地下二樓
RPRRMLNLRHPFFEF07CB,坡道平面,1400000,40.09,地下四樓
RPVRMLNLRHPFFEF47CB,坡道平面,1350000,40.09,地下四樓
RPQSMLNLRHPFFEF07CB,坡道平面,1400000,40.09,地下四樓
RPRNMLOLRHPFFEF76CB,坡道平面,1350000,40.09,地下四樓
RPPNMLOLRHPFFEF56CB,坡道平面,1350000,40.09,地下四樓
RPUNMLOLRHPFFEF07CB,坡道平面,1600000,40.09,地下三樓
RPTPMLOLRHPFFEF17CB,坡道平面,1500000,40.09,地下三樓
RPSNMLOLRHPFFEF86CB,坡道平面,1350000,40.09,地下二樓
RPWPMLOLRHPFFEF47CB,坡道平面,1550000,40.09,地下三樓
RPSQMLOLRHPFFEF17CB,坡道平面,1850000,40.09,地下一樓
RPTRMLOLRHPFFEF37CB,坡道平面,1450000,40.09,地下三樓
RPVRMLOLRHPFFEF57CB,坡道平面,1400000,40.09,地下四樓
RPWQMLOLRHPFFEF57CB,坡道平面,1150000,40.09,地下四樓
RPSSMLOLRHPFFEF37CB,坡道平面,1500000,40.09,地下三樓
RPXSMLOLRHPFFEF87CB,坡道平面,1450000,40.09,地下三樓
RPVSMLOLRHPFFEF67CB,坡道平面,1500000,40.09,地下三樓
RPQTMLOLRHPFFEF27CB,坡道平面,1650000,40.09,地下三樓
RPSTMLOLRHPFFEF47CB,坡道平面,1250000,40.09,地下三樓
RPVTMLOLRHPFFEF77CB,坡道平面,1550000,40.09,地下三樓
RPWTMLOLRHPFFEF87CB,坡道平面,1800000,40.09,地下一樓
RPQUMLOLRHPFFEF37CB,坡道平面,1550000,40.09,地下三樓
RPTTMLOLRHPFFEF57CB,坡道平面,1600000,40.09,地下三樓
RPVUMLOLRHPFFEF87CB,坡道平面,1350000,40.09,地下三樓
RPUUMLOLRHPFFEF77CB,坡道平面,1450000,40.09,地下三樓
RPWUMLOLRHPFFEF97CB,坡道平面,1500000,40.09,地下三樓
RPTUMLOLRHPFFEF67CB,坡道平面,1500000,40.09,地下四樓
RPXUMLOLRHPFFEF08CB,坡道平面,1700000,40.09,地下二樓
RPVOMLOLRHPFFCF07CB,坡道平面,2500000,33.06,地下二樓
RPOVMLOLRHPFFEF27CB,坡道平面,1500000,40.09,地下三樓
RPQVMLOLRHPFFEF47CB,坡道平面,1650000,40.09,地下三樓
RPPVMLOLRHPFFEF37CB,坡道平面,1500000,40.09,地下三樓
RPVQMLQLRHPFFIF08CB,坡道平面,1600000,29.75,地下二樓
RPWQMLQLRHPFFIF18CB,坡道平面,1600000,29.75,地下二樓
RPPRMLQLRHPFFIF57CB,坡道平面,1500000,29.75,地下二樓
RPXQMLQLRHPFFIF28CB,坡道平面,1500000,29.75,地下二樓
RPORMLQLRHPFFIF47CB,坡道平面,1500000,29.75,地下二樓
RPQRMLQLRHPFFIF67CB,坡道平面,1600000,29.75,地下一樓
RPSRMLQLRHPFFIF87CB,坡道平面,1600000,29.75,地下一樓
RPURMLQLRHPFFIF08CB,坡道平面,1600000,29.75,地下二樓
RPTRMLQLRHPFFIF97CB,坡道平面,1600000,29.75,地下二樓
RPRRMLQLRHPFFIF77CB,坡道平面,1600000,29.75,地下一樓
RPWOMLNLRHPFFEF27CB,坡道平面,1450000,40.09,地下三樓
RPVRMLQLRHPFFIF18CB,坡道平面,1500000,29.75,地下二樓
RPXRMLQLRHPFFIF38CB,坡道平面,1600000,29.75,地下二樓
RPQSMLQLRHPFFIF77CB,坡道平面,1700000,29.75,地下一樓
RPUSMLQLRHPFFIF18CB,坡道平面,1500000,29.75,地下二樓
RPWRMLQLRHPFFIF28CB,坡道平面,1600000,29.75,地下二樓
RPTSMLQLRHPFFIF08CB,坡道平面,1600000,29.75,地下二樓
RPOSMLQLRHPFFIF57CB,坡道平面,1500000,29.75,地下二樓
RPPSMLQLRHPFFIF67CB,坡道平面,1500000,29.75,地下二樓
RPSSMLQLRHPFFIF97CB,坡道平面,1600000,29.75,地下一樓
RPVSMLQLRHPFFIF28CB,坡道平面,1600000,29.75,地下一樓
RPXSMLQLRHPFFIF48CB,坡道平面,1500000,29.75,地下二樓
RPWSMLQLRHPFFIF38CB,坡道平面,1500000,29.75,地下二樓
RPOTMLQLRHPFFIF67CB,坡道平面,1600000,29.75,地下二樓
RPRTMLQLRHPFFIF97CB,坡道平面,1700000,29.75,地下一樓
RPPTMLQLRHPFFIF77CB,坡道平面,1700000,29.75,地下一樓
RPQTMLQLRHPFFIF87CB,坡道平面,1600000,29.75,地下二樓
RPTTMLQLRHPFFIF18CB,坡道平面,1500000,29.75,地下二樓
RPSTMLQLRHPFFIF08CB,坡道平面,1600000,29.75,地下二樓
RPUTMLQLRHPFFIF28CB,坡道平面,1600000,29.75,地下一樓
RPVTMLQLRHPFFIF38CB,坡道平面,1600000,29.75,地下一樓
RPXTMLQLRHPFFIF58CB,坡道平面,1500000,29.75,地下二樓
RPOUMLQLRHPFFIF77CB,坡道平面,1600000,29.75,地下一樓
RPWTMLQLRHPFFIF48CB,坡道平面,1500000,29.75,地下二樓
RPPUMLQLRHPFFIF87CB,坡道平面,1500000,29.75,地下二樓
RPQUMLQLRHPFFIF97CB,坡道平面,1600000,29.75,地下一樓
RPPNMLRLRHPFFIF27CB,坡道平面,1600000,29.75,地下一樓
RPVNMLSLRHPFFEF57CB,坡道平面,1350000,40.09,地下四樓
RPUNMLSLRHPFFEF47CB,坡道平面,1450000,40.09,地下三樓
RPQPMLRLRHPFFIF57CB,坡道平面,1500000,29.75,地下二樓
RPWNMLSLRHPFFEF67CB,坡道平面,1600000,40.09,地下三樓
RPRPMLRLRHPFFIF67CB,坡道平面,1600000,29.75,地下二樓
RPOOMLSLRHPFFEF96CB,坡道平面,1350000,40.09,地下三樓
RPQOMLSLRHPFFEF17CB,坡道平面,1850000,40.09,地下一樓
RPSOMLSLRHPFFEF37CB,坡道平面,1350000,40.09,地下四樓
RPROMLSLRHPFFEF27CB,坡道平面,1250000,40.09,地下三樓
RPTOMLSLRHPFFEF47CB,坡道平面,1450000,40.09,地下二樓
RPUOMLSLRHPFFEF57CB,坡道平面,1450000,40.09,地下三樓
RPWOMLSLRHPFFEF77CB,坡道平面,1400000,40.09,地下二樓
RPVOMLSLRHPFFEF67CB,坡道平面,1350000,40.09,地下二樓
RPRPMLSLRHPFFEF37CB,坡道平面,1400000,40.09,地下四樓
RPTPMLSLRHPFFEF57CB,坡道平面,1450000,40.09,地下四樓
RPUPMLSLRHPFFEF67CB,坡道平面,1500000,40.09,地下四樓
RPRQMLSLRHPFFEF47CB,坡道平面,1150000,40.09,地下四樓
RPQQMLSLRHPFFEF37CB,坡道平面,1350000,40.09,地下四樓
RPUQMLSLRHPFFEF77CB,坡道平面,1550000,40.09,地下四樓
RPSQMLSLRHPFFEF57CB,坡道平面,1450000,40.09,地下三樓
RPVQMLSLRHPFFEF87CB,坡道平面,1450000,40.09,地下三樓
RPWQMLSLRHPFFEF97CB,坡道平面,1400000,40.09,地下三樓
RPTRMLSLRHPFFEF77CB,坡道平面,1650000,40.09,地下二樓
RPPRMLSLRHPFFEF37CB,坡道平面,1450000,40.09,地下四樓
RPPSMLSLRHPFFEF47CB,坡道平面,1400000,40.09,地下四樓
RPRRMLSLRHPFFEF57CB,坡道平面,1250000,40.09,地下三樓
RPXQMLSLRHPFFEF08CB,坡道平面,1700000,40.09,地下二樓
RPXRMLSLRHPFFEF18CB,坡道平面,1350000,40.09,地下四樓
RPQSMLSLRHPFFEF57CB,坡道平面,1600000,40.09,地下二樓
RPRSMLSLRHPFFEF67CB,坡道平面,1600000,40.09,地下三樓
RPRTMLSLRHPFFEF77CB,坡道平面,1900000,40.09,地下一樓
RPSSMLSLRHPFFEF77CB,坡道平面,1500000,40.09,地下三樓
RPVTMLSLRHPFFEF18CB,坡道平面,1950000,40.09,地下一樓
RPQNMLTLRHPFFEF17CB,坡道平面,1500000,40.09,地下三樓
RPROMLTLRHPFFEF37CB,坡道平面,1400000,40.09,地下四樓
RPSNMLTLRHPFFEF37CB,坡道平面,1200000,40.09,地下四樓
RPPOMLTLRHPFFEF17CB,坡道平面,1350000,40.09,地下四樓
RPUOMLTLRHPFFEF67CB,坡道平面,1200000,40.09,地下四樓
RPVOMLTLRHPFFEF77CB,坡道平面,1400000,40.09,地下四樓
RPXOMLTLRHPFFEF97CB,坡道平面,1450000,40.09,地下四樓
RPQPMLTLRHPFFEF37CB,坡道平面,1550000,40.09,地下四樓
RPPPMLTLRHPFFEF27CB,坡道平面,1350000,40.09,地下四樓
RPTPMLTLRHPFFEF67CB,坡道平面,1300000,40.09,地下三樓
RPRPMLTLRHPFFEF47CB,坡道平面,1400000,40.09,地下三樓
RPUQMLTLRHPFFEF87CB,坡道平面,1400000,40.09,地下四樓
RPORMLTLRHPFFEF37CB,坡道平面,1450000,40.09,地下四樓
RPVQMLTLRHPFFEF97CB,坡道平面,1350000,40.09,地下三樓
RPPRMLTLRHPFFEF47CB,坡道平面,1350000,40.09,地下二樓
RPQRMLTLRHPFFEF57CB,坡道平面,1300000,40.09,地下三樓
RPRRMLTLRHPFFEF67CB,坡道平面,1200000,40.09,地下四樓
RPUSMLTLRHPFFEF08CB,坡道平面,1500000,40.09,地下三樓
RPQTMLTLRHPFFEF77CB,坡道平面,1150000,40.09,地下四樓
RPOTMLTLRHPFFEF57CB,坡道平面,1350000,40.09,地下四樓
RPQUMLTLRHPFFEF87CB,坡道平面,1250000,40.09,地下四樓
RPSUMLTLRHPFFEF08CB,坡道平面,1400000,40.09,地下三樓
RPRUMLTLRHPFFEF97CB,坡道平面,1400000,40.09,地下三樓
RPVUMLTLRHPFFEF38CB,坡道平面,1600000,40.09,地下三樓
RPWUMLTLRHPFFEF48CB,坡道平面,1450000,40.09,地下三樓
RPTTMLTLRHPFFEF08CB,坡道平面,1550000,40.09,地下二樓
RPXUMLTLRHPFFEF58CB,坡道平面,1450000,40.09,地下三樓
RPPVMLTLRHPFFEF87CB,坡道平面,1400000,40.09,地下三樓
RPOVMLTLRHPFFEF77CB,坡道平面,1500000,40.09,地下三樓
RPSVMLTLRHPFFEF18CB,坡道平面,1400000,40.09,地下四樓
RPUVMLTLRHPFFEF38CB,坡道平面,1450000,40.09,地下二樓
RPWVMLTLRHPFFEF58CB,坡道平面,1500000,40.09,地下三樓
RPPWMLTLRHPFFEF97CB,坡道平面,1500000,40.09,地下三樓
RPVVMLTLRHPFFEF48CB,坡道平面,1350000,40.09,地下二樓
RPXVMLTLRHPFFEF68CB,坡道平面,1400000,40.09,地下四樓
RPOWMLTLRHPFFEF87CB,坡道平面,1400000,40.09,地下四樓
RPQWMLTLRHPFFEF08CB,坡道平面,1500000,40.09,地下四樓
RPRWMLTLRHPFFEF18CB,坡道平面,1500000,40.09,地下四樓
RPWOMLKMRHPFFEF07CB,坡道平面,1250000,40.09,地下四樓
RPUOMLKMRHPFFEF86CB,坡道平面,1550000,40.09,地下三樓
RPPPMLKMRHPFFEF09CB,坡道平面,1550000,40.09,地下三樓
RPTPMLKMRHPFFEF86CB,坡道平面,1600000,40.09,地下三樓
RPRPMLKMRHPFFEF66CB,坡道平面,1400000,40.09,地下四樓
RPWPMLKMRHPFFEF17CB,坡道平面,1500000,40.09,地下三樓
RPVPMLKMRHPFFEF07CB,坡道平面,1550000,40.09,地下三樓
RPXPMLKMRHPFFEF27CB,坡道平面,1500000,40.09,地下三樓
RPOQMLKMRHPFFEF09CB,坡道平面,1600000,40.09,地下三樓
RPQQMLKMRHPFFEF66CB,坡道平面,1450000,40.09,地下三樓
RPRQMLKMRHPFFEF76CB,坡道平面,1350000,40.09,地下三樓
RPSQMLKMRHPFFEF86CB,坡道平面,1700000,40.09,地下二樓
RPSQMLKMRHPFFEF86CB,坡道平面,1700000,40.09,地下二樓
RPVQMLKMRHPFFEF17CB,坡道平面,1600000,40.09,地下二樓
RPQSMLKMRHPFFEF86CB,坡道平面,1550000,40.09,地下二樓
RPQSMLKMRHPFFEF86CB,坡道平面,1450000,40.09,地下二樓
RPXQMLKMRHPFFEF37CB,坡道平面,1400000,40.09,地下四樓
RPSSMLKMRHPFFEF07CB,坡道平面,1500000,40.09,地下二樓
RPPRMLKMRHPFFEF66CB,坡道平面,1500000,40.09,地下三樓
RPUSMLKMRHPFFEF27CB,坡道平面,1500000,40.09,地下四樓
RPWSMLKMRHPFFEF47CB,坡道平面,1600000,40.09,地下四樓
RPOTMLKMRHPFFEF76CB,坡道平面,1400000,40.09,地下三樓
RPPTMLKMRHPFFEF86CB,坡道平面,1500000,40.09,地下三樓
RPQTMLKMRHPFFEF96CB,坡道平面,1500000,40.09,地下三樓
RPUTMLKMRHPFFEF37CB,坡道平面,1400000,40.09,地下三樓
RPTTMLKMRHPFFEF27CB,坡道平面,1400000,40.09,地下三樓
RPSTMLKMRHPFFEF17CB,坡道平面,1300000,40.09,地下四樓
RPWTMLKMRHPFFEF57CB,坡道平面,1450000,40.09,地下二樓
RPXTMLKMRHPFFEF67CB,坡道平面,1700000,40.09,地下二樓
RPQUMLKMRHPFFEF07CB,坡道平面,1600000,40.09,地下二樓
RPSUMLKMRHPFFEF27CB,坡道平面,1500000,40.09,地下四樓
RPOUMLKMRHPFFEF86CB,坡道平面,1350000,40.09,地下三樓
RPUUMLKMRHPFFEF47CB,坡道平面,1250000,40.09,地下四樓
RPVUMLKMRHPFFEF57CB,坡道平面,1250000,40.09,地下四樓
RPXUMLKMRHPFFEF77CB,坡道平面,1500000,40.09,地下三樓
RPOVMLKMRHPFFEF96CB,坡道平面,1300000,40.09,地下四樓
RPWUMLKMRHPFFEF67CB,坡道平面,1500000,40.09,地下二樓
RPPVMLKMRHPFFEF07CB,坡道平面,1300000,40.09,地下四樓
RPRVMLKMRHPFFEF27CB,坡道平面,1450000,40.09,地下四樓
RPTVMLKMRHPFFEF47CB,坡道平面,1300000,40.09,地下四樓
RPVVMLKMRHPFFEF67CB,坡道平面,1400000,40.09,地下二樓
RPWQMLPJIIPFFEF86EB,坡道平面,1450000,40.09,地下二樓
RPQNMLQJIIPFFEF48CB,坡道平面,1500000,40.09,地下二樓
RPPRMLKMRHPFFBF98CB,坡道平面,1850000,26.74,地下五樓含以下
RPRNMLQJIIPFFEF58CB,坡道平面,1150000,40.09,地下四樓
RPSNMLQJIIPFFEF68CB,坡道平面,1600000,40.09,地下四樓
RPTNMLQJIIPFFEF78CB,坡道平面,1450000,40.09,地下三樓
RPVNMLQJIIPFFEF98CB,坡道平面,1500000,40.09,地下三樓
RPXNMLQJIIPFFEF56CB,坡道平面,1400000,40.09,地下四樓
RPWNMLQJIIPFFEF09CB,坡道平面,1450000,40.09,地下四樓
RPTOMLQJIIPFFEF88CB,坡道平面,1350000,40.09,地下四樓
RPVOMLQJIIPFFEF09CB,坡道平面,1600000,40.09,地下四樓
RPPOMLQJIIPFFEF48CB,坡道平面,1400000,40.09,地下四樓
RPWOMLQJIIPFFEF56CB,坡道平面,1700000,40.09,地下二樓
RPOPMLQJIIPFFEF48CB,坡道平面,1250000,40.09,地下四樓
RPRPMLQJIIPFFEF78CB,坡道平面,1600000,40.09,地下四樓
RPPPMLQJIIPFFEF58CB,坡道平面,1500000,40.09,地下三樓
RPQPMLQJIIPFFEF68CB,坡道平面,1500000,40.09,地下三樓
RPPQMLQJIIPFFEF68CB,坡道平面,1400000,40.09,地下四樓
RPXPMLQJIIPFFEF76CB,坡道平面,1300000,40.09,地下四樓
RPQQMLQJIIPFFEF78CB,坡道平面,1400000,40.09,地下四樓
RPRQMLQJIIPFFEF88CB,坡道平面,1350000,40.09,地下四樓
RPSQMLQJIIPFFEF98CB,坡道平面,1300000,40.09,地下四樓
RPXRMLQJIIPFFEF96CB,坡道平面,1300000,40.09,地下四樓
RPOSMLQJIIPFFEF78CB,坡道平面,1250000,40.09,地下三樓
RPQSMLQJIIPFFEF98CB,坡道平面,1400000,40.09,地下四樓
RPPSMLQJIIPFFEF88CB,坡道平面,1400000,40.09,地下四樓
RPRSMLQJIIPFFEF09CB,坡道平面,1400000,40.09,地下三樓
RPSSMLQJIIPFFEF56CB,坡道平面,1350000,40.09,地下三樓
RPUSMLQJIIPFFEF76CB,坡道平面,1400000,40.09,地下四樓
RPSTMLQJIIPFFEF66CB,坡道平面,1300000,40.09,地下四樓
RPWSMLQJIIPFFEF96CB,坡道平面,1550000,40.09,地下四樓
RPQTMLQJIIPFFEF09CB,坡道平面,1500000,40.09,地下四樓
RPTUMLQJIIPFFEF86CB,坡道平面,1350000,40.09,地下四樓
RPQUMLQJIIPFFEF56CB,坡道平面,1500000,40.09,地下三樓
RPVUMLQJIIPFFEF07CB,坡道平面,1500000,40.09,地下四樓
RPXUMLQJIIPFFEF27CB,坡道平面,1400000,40.09,地下三樓
RPQWMLQJIIPFFEF76CB,坡道平面,1500000,40.09,地下三樓
RPQVMLQJIIPFFEF66CB,坡道平面,1400000,40.09,地下四樓
RPUVMLQJIIPFFEF07CB,坡道平面,1500000,40.09,地下四樓
RPUNMLRJIIPFFEF98CB,坡道平面,1400000,40.09,地下四樓
RPVNMLRJIIPFFEF09CB,坡道平面,1300000,40.09,地下四樓
RPSWMLQJIIPFFEF96CB,坡道平面,1400000,40.09,地下四樓
RPPOMLRJIIPFFEF58CB,坡道平面,1600000,40.09,地下四樓
RPXNMLRJIIPFFEF66CB,坡道平面,1250000,40.09,地下三樓
