編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLTLRHPFFBG67CB,南橋一段,76.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960062
RPXNMLTLRHPFFBG67CB,南橋一段,21.14,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960051
RPXNMLTLRHPFFBG67CB,南橋一段,174.10,非都市：特定農業區 ; 非都市編定：農牧用地,228894,17410,持分移轉,04930000
RPOOMLTLRHPFFBG86CB,南橋一段,78.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960061
RPOOMLTLRHPFFBG86CB,南橋一段,19.61,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960052
RPOOMLTLRHPFFBG86CB,南橋一段,179.60,非都市：特定農業區 ; 非都市編定：農牧用地,228894,17960,持分移轉,04930000
RPROMLTLRHPFFBG17CB,南橋一段,74.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960058
RPROMLTLRHPFFBG17CB,南橋一段,27.65,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960055
RPROMLTLRHPFFBG17CB,南橋一段,196.20,非都市：特定農業區 ; 非都市編定：農牧用地,228894,19620,持分移轉,04930000
RPPOMLTLRHPFFBG96CB,南橋一段,81.08,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960060
RPPOMLTLRHPFFBG96CB,南橋一段,17.39,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960053
RPPOMLTLRHPFFBG96CB,南橋一段,185.10,非都市：特定農業區 ; 非都市編定：農牧用地,228894,18510,持分移轉,04930000
RPQOMLTLRHPFFBG07CB,南橋一段,81.32,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960059
RPQOMLTLRHPFFBG07CB,南橋一段,19.52,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960054
RPQOMLTLRHPFFBG07CB,南橋一段,190.70,非都市：特定農業區 ; 非都市編定：農牧用地,228894,19070,持分移轉,04930000
RPXOMLTLRHPFFBG77CB,南橋一段,102.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960041
RPXOMLTLRHPFFBG77CB,南橋一段,13.97,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960044
RPXOMLTLRHPFFBG77CB,南橋一段,100.20,非都市：特定農業區 ; 非都市編定：農牧用地,228894,10020,持分移轉,04930000
RPOPMLTLRHPFFBG96CB,南橋一段,82.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960057
RPOPMLTLRHPFFBG96CB,南橋一段,31.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960056
RPOPMLTLRHPFFBG96CB,南橋一段,300.80,非都市：特定農業區 ; 非都市編定：農牧用地,228894,30080,持分移轉,04930000
RPUOMLTLRHPFFBG47CB,南橋一段,85.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960038
RPUOMLTLRHPFFBG47CB,南橋一段,13.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960047
RPUOMLTLRHPFFBG47CB,南橋一段,95.90,非都市：特定農業區 ; 非都市編定：農牧用地,228894,9590,持分移轉,04930000
RPPPMLTLRHPFFBG07CB,南橋一段,80.41,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960037
RPPPMLTLRHPFFBG07CB,南橋一段,19.43,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960048
RPPPMLTLRHPFFBG07CB,南橋一段,51.10,非都市：特定農業區 ; 非都市編定：農牧用地,228894,5110,持分移轉,04930000
RPVOMLTLRHPFFBG57CB,南橋一段,91.30,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960039
RPVOMLTLRHPFFBG57CB,南橋一段,8.83,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960046
RPVOMLTLRHPFFBG57CB,南橋一段,95.80,非都市：特定農業區 ; 非都市編定：農牧用地,228894,9580,持分移轉,04930000
RPVNMLNKIIPFFBG58CB,南橋一段,97.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960040
RPVNMLNKIIPFFBG58CB,南橋一段,9.08,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04960045
RPVNMLNKIIPFFBG58CB,南橋一段,95.80,非都市：特定農業區 ; 非都市編定：農牧用地,228894,9580,持分移轉,04930000
