編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRPMLMLIIPFFBJ68CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPTPMLMLIIPFFBJ88CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPQQMLMLIIPFFBJ68CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPUPMLMLIIPFFBJ98CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPOQMLMLIIPFFBJ48CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPVPMLMLIIPFFBJ09CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPRQMLMLIIPFFBJ78CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPSQMLMLIIPFFBJ88CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPPQMLMLIIPFFBJ58CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPWPMLMLIIPFFBJ56CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPWQMLMLIIPFFBJ66CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPTQMLMLIIPFFBJ98CB,站前段,15.94,都市：商,10000,71,持分移轉,05170000
RPVQMLMLIIPFFBJ56CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPQPMLNLIIPFFBJ68CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPXOMLNLIIPFFBJ66CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPSPMLNLIIPFFBJ88CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPPPMLNLIIPFFBJ58CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPTPMLNLIIPFFBJ98CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPRPMLNLIIPFFBJ78CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPPQMLNLIIPFFBJ68CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPXPMLNLIIPFFBJ76CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPWPMLNLIIPFFBJ66CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPOQMLNLIIPFFBJ58CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPRQMLNLIIPFFBJ88CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPVPMLNLIIPFFBJ56CB,站前段,17.28,都市：商,10000,77,持分移轉,05170000
RPSQMLNLIIPFFBJ98CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPUQMLNLIIPFFBJ56CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPQQMLNLIIPFFBJ78CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPTQMLNLIIPFFBJ09CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPTOMLRLIIPFFBJ66CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPVQMLNLIIPFFBJ66CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPVOMLRLIIPFFBJ86CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPPPMLRLIIPFFBJ98CB,站前段,11.67,都市：商,10000,52,持分移轉,05170000
RPWOMLRLIIPFFBJ96CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPXOMLRLIIPFFBJ07CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPRPMLRLIIPFFBJ56CB,站前段,13.24,都市：商,10000,59,持分移轉,05170000
RPOPMLRLIIPFFBJ88CB,站前段,11.90,都市：商,10000,53,持分移轉,05170000
RPQPMLRLIIPFFBJ09CB,站前段,13.24,都市：商,10000,59,持分移轉,05170000
RPTOMLTLIIPFFBJ86CB,站前段,13.24,都市：商,10000,59,持分移轉,05170000
RPUOMLTLIIPFFBJ96CB,站前段,13.24,都市：商,10000,59,持分移轉,05170000
RPPPMLTLIIPFFBJ56CB,站前段,13.24,都市：商,10000,59,持分移轉,05170000
RPVOMLTLIIPFFBJ07CB,站前段,13.24,都市：商,10000,59,持分移轉,05170000
RPSPMLTLIIPFFBJ86CB,站前段,13.24,都市：商,10000,59,持分移轉,05170000
