鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹南鎮,房地(土地+建物),苗栗縣竹南鎮B10,68.19,住,,,1090323,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,153.51,3,2,2,有,無,8250000,53742,,0.0,0,含頭份市信義段土地。,RPPOMLPLRHPFFDK17CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮B11,66.9,住,,,1090401,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,148.49,3,2,2,有,無,8450000,56906,,0.0,0,含頭份市信義段土地。,RPQOMLPLRHPFFDK27CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮B12,66.9,住,,,1090403,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,152.45,3,2,2,有,無,8290000,54378,,0.0,0,含頭份市信義段土地。,RPROMLPLRHPFFDK37CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮B13,66.9,住,,,1090330,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,153.16,3,2,2,有,無,8320000,54322,,0.0,0,含頭份市信義段土地。,RPSOMLPLRHPFFDK47CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮B15,66.9,住,,,1090327,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,148.49,3,2,2,有,無,8250000,55559,,0.0,0,含頭份市信義段土地。,RPTOMLPLRHPFFDK57CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮B16,31.3,住,,,1090214,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,148.67,3,2,2,有,無,8200000,55156,,0.0,0,含頭份市信義段土地。,RPUOMLPLRHPFFDK67CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮B17,14.02,住,,,1090424,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,153.28,3,2,2,有,無,8240000,53758,,0.0,0,含頭份市信義段土地。,RPVOMLPLRHPFFDK77CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮B18,14.02,住,,,1090322,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,153.39,3,2,2,有,無,7880000,51372,,0.0,0,含頭份市信義段土地。,RPXOMLPLRHPFFDK97CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮C1,70.75,住,,,1090310,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,151.26,3,2,2,有,無,8310000,54939,,0.0,0,含頭份市信義段土地。,RPOPMLPLRHPFFDK17CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮C2,67.35,住,,,1090331,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,148.49,3,2,2,有,無,8330000,56098,,0.0,0,含頭份市信義段土地。,RPPPMLPLRHPFFDK27CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮C3,67.35,住,,,1090114,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,152.45,3,2,2,有,無,8370000,54903,,0.0,0,含頭份市信義段土地。,RPQPMLPLRHPFFDK37CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮C5,67.35,住,,,1090312,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,148.49,3,2,2,有,無,8340000,56165,,0.0,0,含頭份市信義段土地。,RPRPMLPLRHPFFDK47CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮C6,67.35,住,,,1090309,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,153.16,3,2,2,有,無,8370000,54649,,0.0,0,含頭份市信義段土地。,RPSPMLPLRHPFFDK57CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮C8,14.47,住,,,1090427,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,150.2,3,2,2,有,無,8280000,55126,,0.0,0,含頭份市信義段土地。,RPTPMLPLRHPFFDK67CB
竹南鎮,房地(土地+建物),苗栗縣竹南鎮C7,40.13,住,,,1090226,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,149.71,3,2,2,有,無,8300000,55441,,0.0,0,含頭份市信義段土地。,RPUPMLPLRHPFFDK77CB
