編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTQMLSKQHPFFAO97DA,,112.94,,加強磚造,,二層,一層 二層 陽台 平台 屋頂突出物
RPSNNLPLQHPFFAO47DA,,24.23,集合住宅,鋼筋混凝土造,103年8月30日,十二層,八層 陽台 雨遮
RPSNNLPLQHPFFAO47DA,,18.84,共有部分,鋼筋混凝土造,103年8月30日,十二層,
RPTQMLRLQHPFFAO97DA,6,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPTQMLRLQHPFFAO97DA,6,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPTQMLRLQHPFFAO97DA,6,91.88,集合住宅,鋼筋混凝土造,103年12月8日,二十八層,十四層 陽台 雨遮
RPTQMLRLQHPFFAO97DA,6,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPTQMLRLQHPFFAO97DA,6,23.52,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPTQMLRLQHPFFAO97DA,6,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPTQMLRLQHPFFAO97DA,6,21.55,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQOMLPLQHPFFAO27DA,9,.02,守衛室,鋼筋混凝土造,100年5月1日,十四層,一層
RPQOMLPLQHPFFAO27DA,9,110.20,集合住宅,鋼筋混凝土造,100年5月1日,十四層,三層 陽台 雨遮
RPQOMLPLQHPFFAO27DA,9,20.38,共有部分,鋼筋混凝土造,100年5月1日,十四層,
RPQOMLPLQHPFFAO27DA,9,.00,共有部分,鋼筋混凝土造,100年5月1日,十二層,
RPQOMLPLQHPFFAO27DA,9,21.55,共有部分,鋼筋混凝土造,100年5月1日,十四層,
RPQOMLPLQHPFFAO27DA,9,23.91,共有部分,鋼筋混凝土造,100年5月1日,十四層,
RPSOMLMJRHPFFAO07DA,30,31.94,住家用,鋼筋混凝土造,80年1月22日,七層,七層
RPSOMLMJRHPFFAO07DA,30,2.13,共有部分,鋼筋混凝土造,80年1月22日,七層,
RPSOMLMJRHPFFAO07DA,,5.53,共有部分,鋼筋混凝土造,,七層,
RPSOMLMJRHPFFAO07DA,,3.52,共有部分,鋼筋混凝土造,,七層,
RPUQMLMJRHPFFAO47DA,28,79.34,住家用,鋼筋混凝土造,82年1月12日,六層,三層 陽台
RPUQMLMJRHPFFAO47DA,28,23.21,共有部分,鋼筋混凝土造,82年1月12日,六層,
RPUOMLRJRHPFFAO77DA,5,34.91,共有部分,鋼筋混凝土造,104年12月7日,八層,
RPPQMLRJRHPFFAO47DA,9,265.56,停車空間、集合住宅、樓梯間,鋼筋混凝土造,100年12月13日,四層,一層 二層 三層 四層 雨遮 見其他登記事項
RPXOMLRJRHPFFAO08DA,5,.04,辦公室,鋼筋混凝土造,104年10月30日,二十四層,一層
RPXOMLRJRHPFFAO08DA,5,114.72,集合住宅,鋼筋混凝土造,104年10月30日,二十四層,九層 陽台 雨遮
RPXOMLRJRHPFFAO08DA,5,20.64,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPXOMLRJRHPFFAO08DA,5,58.08,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPXOMLRJRHPFFAO08DA,5,34.56,共有部分,鋼筋混凝土造,104年10月30日,二十四層,
RPPOMLOJRHPFFAO96DA,23,24.48,住家用,鋼筋混凝土造,86年7月15日,十二層,七層 陽台
RPPOMLOJRHPFFAO96DA,23,3.51,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPPOMLOJRHPFFAO96DA,23,.09,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPPOMLOJRHPFFAO96DA,23,7.17,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPUQMLRJRHPFFAO97DA,4,102.49,集合住宅,鋼筋混凝土造,106年1月10日,二十四層,十四層 陽台 雨遮
RPUQMLRJRHPFFAO97DA,4,36.40,共有部分,鋼筋混凝土造,106年1月10日,二十四層,
