編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOQMLOKRHPFFAO27CC,坡道平面,0,,
RPOQMLOKRHPFFAO27CC,坡道機械,0,,
RPQOMLOKRHPFFAO27CC,坡道平面,0,,
RPTSMLOLRHPFFAO08CC,坡道平面,2500,32.90,
RPQPMLQJIIPFFAO66CC,坡道平面,0,34.91,
RPSQMLQJIIPFFAO96CC,坡道機械,0,,
RPSPMLSJIIPFFAO07CC,一樓平面,0,,
RPRNMLKKIIPFFAO68CC,坡道平面,0,29.47,
RPORNLTKIIPFFAO17CC,坡道機械,0,,
RPQQMLLLIIPFFAO09CC,坡道平面,0,,
RPQQMLLLIIPFFAO09CC,坡道機械,0,,
RPPOMLNLIIPFFAO98CC,坡道平面,0,43.21,
RPQTNLQJJIPFFAO27CC,坡道平面,0,8.27,
RPQNNLPJJIPFFAO56CC,坡道平面,0,,
RPXVNLKKJIPFFAO67CC,坡道平面,0,,
RPRUNLTJJIPFFAO77CC,坡道機械,1800,13.20,
RPRQMLQKJIPFFAO07CC,坡道平面,0,,
RPWQMLRKJIPFFAO67CC,坡道平面,0,21.68,
RPSPMLKLJIPFFAO56CC,坡道平面,0,35.44,
RPVOMLKLJIPFFAO76CC,坡道平面,0,,
RPPQMLLJKIPFFAO98CC,坡道平面,0,,
RPUPMLLJKIPFFAO76CC,坡道機械,0,,
RPORMLKKKIPFFAO98CC,坡道平面,0,,
RPWUNLKKJIPFFAO47CC,坡道平面,0,,
