編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLKKQHPFFAP17EA,一樓平面,0,,一樓
RPUNMLTJRHPFFAP97DA,一樓平面,0,,一樓
RPOOMLTJRHPFFAP47DA,坡道機械,0,,地下一樓
RPTNMLTJRHPFFAP97EA,坡道平面,0,,地下一樓
RPPNMLOJRHPFFAP96DA,其他,0,,一樓
RPPNMLOJRHPFFAP96DA,其他,0,,一樓
RPPOMLQKRHPFFAP47EA,坡道機械,0,,地下一樓
RPSNMLQKRHPFFAP67EA,坡道平面,0,,地下一樓
RPTNMLLLQHPFFDP47DA,一樓平面,950000,40.97,一樓
RPSNMLLLQHPFFDP37DA,一樓平面,950000,40.97,一樓
RPXNMLSKRHPFFDP58DA,坡道平面,0,,地下一樓
RPQQMLSLQHPFFDP18DA,坡道平面,850000,40.97,地下一樓
RPRNMLLLQHPFFDP27DA,一樓平面,950000,40.97,一樓
RPUNMLLLQHPFFDP57DA,一樓平面,950000,40.97,一樓
RPTNMLNLRHPFFBP67EA,坡道平面,0,,地下一樓
RPSNMLOLRHPFFEP97EA,坡道平面,0,36.67,地下二樓
RPSQMLSLQHPFFDP38DA,坡道平面,850000,40.97,地下一樓
RPTNMLSKRHPFFAP87DA,升降機械,0,,地下一樓
RPQPMLOLRHPFFBP67EA,坡道平面,0,8.58,地下一樓
RPPNMLOLRHPFFAP17DA,一樓平面,0,,一樓
RPPNMLOLRHPFFAP17DA,一樓平面,0,,一樓
RPUNMLPLRHPFFAP77DA,一樓平面,300000,12.58,一樓
RPVNMLPLRHPFFAP87DA,一樓平面,300000,12.58,一樓
RPXNMLSLRHPFFAP38DA,一樓平面,300000,13.75,一樓
RPXNMLPJIIPFFAP17EA,坡道平面,0,,地下一樓
RPVOMLKMRHPFFAP57DA,一樓平面,300000,12.58,一樓
RPUOMLKMRHPFFAP47DA,一樓平面,300000,12.58,一樓
RPVNMLRJIIPFFAP07DA,坡道機械,0,,地下一樓
RPQOMLSLRHPFFAP77DA,一樓平面,0,,一樓
RPWNMLRJIIPFFAP27EA,坡道平面,0,,地下一樓
RPQNMLRJIIPFFAP56DA,一樓平面,0,,一樓
RPQNMLRJIIPFFAP56DA,一樓平面,0,,一樓
RPPOMLSJIIPFFAP76EA,坡道機械,0,,地下一樓
RPTNMLNKIIPFFBP76EA,坡道平面,0,,地下一樓
RPTOMLKMRHPFFAP37DA,一樓平面,300000,13.75,一樓
RPPNMLLKIIPFFDP88DA,升降機械,0,,地下一樓
RPPOMLNKIIPFFAP98EA,升降機械,0,,地下一樓
RPUNMLPJIIPFFAP76DA,坡道機械,0,,地下二樓
RPPNMLQKIIPFFBP56DA,坡道平面,0,,地下二樓
RPPNMLKLIIPFFAP68EA,坡道平面,0,,地下一樓
RPPOMLLLQHPFFDP17DA,坡道平面,850000,40.97,地下一樓
RPOOMLLLQHPFFDP07DA,一樓平面,950000,40.97,一樓
RPPNMLLLQHPFFDP07DA,一樓平面,950000,40.97,一樓
RPQNMLLLQHPFFDP17DA,坡道平面,850000,40.97,地下一樓
RPOQMLSLQHPFFDP97DA,坡道平面,850000,40.97,地下一樓
RPUPMLSLQHPFFDP48DA,一樓平面,950000,40.97,一樓
RPPPMLSLQHPFFDP97DA,坡道平面,850000,40.97,地下一樓
RPUNMLLLIIPFFAP66EA,坡道平面,0,,地下一樓
RPQOMLLLIIPFFEP66DA,其他,0,,地下三樓
RPQOMLLLIIPFFEP66DA,其他,0,,地下三樓
RPQNMLMLIIPFFAP88DA,一樓平面,0,,一樓
RPQNMLMLIIPFFAP88DA,一樓平面,0,,一樓
RPUNMLQLIIPFFAP07DA,一樓平面,300000,13.70,一樓
RPQNMLQLIIPFFAP66DA,一樓平面,0,,一樓
RPROMLNLRHPFFAP37DA,一樓平面,0,19.15,一樓
RPQNMLNLIIPFFDP66DA,坡道平面,0,,地下一樓
RPWNMLRLIIPFFAP37DA,坡道平面,0,,地下一樓
RPRNMLQJIIPFFAP56DA,一樓平面,0,,一樓
RPRNMLRLIIPFFBP07EA,坡道平面,0,,地下一樓
RPUNMLPLIIPFFAP96DA,一樓平面,600000,29.80,一樓
RPUNMLPLIIPFFAP96DA,一樓平面,600000,29.80,一樓
RPUNMLPLIIPFFAP96DA,一樓平面,600000,29.80,一樓
RPUNMLPLIIPFFAP96DA,一樓平面,600000,29.80,一樓
RPUNMLPLIIPFFAP96DA,坡道平面,600000,29.80,地下一樓
