編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLTJRHPFFAT18DA,新潭段,59.99,都市：住,1,1,全筆移轉,12070000
RPSNMLTJRHPFFAT18DA,新潭段,14.48,都市：住,300,10,持分移轉,12210000
RPSNMLTJRHPFFAT18DA,新潭段,4.74,都市：住,300,10,持分移轉,12310000
RPSNMLTJRHPFFAT18DA,新潭段,3.06,都市：住,300,10,持分移轉,12390000
RPRNMLTJRHPFFAT08DA,新社皮段,22.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,283,持分移轉,12310000
RPRNMLTJRHPFFAT08DA,新社皮段,62.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12490000
RPUOMLSLQHPFFAT48DA,林內段,70.00,都市：住,1,1,全筆移轉,00870000
RPPNMLTJRHPFFAT87DA,北勢段,17.08,都市：住,60000,510,持分移轉,06440003
RPPNMLTJRHPFFAT87DA,北勢段,1.70,都市：住,60000,510,持分移轉,06470002
RPTOMLRJRHPFFAT18DA,萬年段,70.83,都市：住,4000,247,持分移轉,07800000
RPTOMLTJRHPFFAT38DA,萬年段,47.74,都市：住,10000,839,持分移轉,09720000
RPVOMLTJRHPFFAT58DA,勝興段,32.74,都市：住,10000,43,持分移轉,09980000
RPPNMLOJRHPFFBT47DA,新南段,759.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05450000
RPPNMLOJRHPFFBT47DA,新南段,48.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,05470001
RPQNMLLKRHPFFBT37DA,永隆段,1721.57,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08850000
RPTNMLRJRHPFFBT18DA,新莊段,2514.74,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,10210000
RPTNMLRJRHPFFBT18DA,新莊段,2514.74,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,10210000
RPUNMLSLQHPFFCT58DA,萬和段,83.00,都市：其他:商業區,8,2,持分移轉,10930000
RPUNMLSLQHPFFCT58DA,萬和段,13.90,都市：其他:商業區,8,2,持分移轉,10940000
RPOPMLOLQHPFFCT77DA,南寧段,65.33,都市：其他:住宅區,1,1,全筆移轉,01510000
RPOPMLOLQHPFFCT77DA,南寧段,8.91,都市：其他:住宅區,1,1,全筆移轉,01520000
RPUNMLTJRHPFFAT38DA,萬惠段,96.00,都市：住,1,1,全筆移轉,02860000
RPTNMLOJRHPFFCT97DA,龍頸段,5.99,都市：其他:,16,1,持分移轉,10600001
RPTNMLOJRHPFFCT97DA,龍頸段,123.90,都市：其他:,1,1,全筆移轉,10600016
RPSOMLMJRHPFFCT77DA,新勢段,1230.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11290001
RPPNMLTJRHPFFCT08DA,龍潭段,36.17,都市：其他:住宅區,2,1,持分移轉,11870000
RPVNMLRJRHPFFCT48DA,五福段,70.56,都市：其他:住宅區,1,1,全筆移轉,07990000
RPVNMLSJRHPFFCT58DA,新埔段,241.50,都市：其他:農業區,2,1,持分移轉,17910000
RPVNMLSJRHPFFCT58DA,新埔段,29.50,都市：其他:農業區,256,16,持分移轉,17910008
RPOOMLSJRHPFFCT97DA,壽比段,87.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07950013
RPOOMLSJRHPFFCT97DA,壽比段,17.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,1,持分移轉,07950014
RPVNMLKKRHPFFCT87DA,五魁段,128.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07130022
RPVNMLKKRHPFFCT87DA,五魁段,7.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07130039
RPXNMLSJRHPFFCT78DA,龍潭段,5.95,都市：其他:住宅區,1,1,全筆移轉,10800000
RPUNMLKKRHPFFCT77DA,南岸段,1508.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00490000
RPUNMLKKRHPFFCT77DA,南岸段,1625.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00510000
RPXNMLSJRHPFFCT78DA,龍潭段,2.58,都市：其他:住宅區,1,1,全筆移轉,10810000
RPXNMLSJRHPFFCT78DA,龍潭段,55.39,都市：其他:住宅區,1,1,全筆移轉,11490000
RPSNMLSJRHPFFAT08DA,崑崙段,109.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03110004
RPSNMLSJRHPFFAT08DA,崑崙段,41.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,115,持分移轉,03110009
RPTNMLTJRHPFFCT48DA,永春段,34.31,都市：其他:市場用地,1,1,全筆移轉,07080000
RPTNMLTJRHPFFCT48DA,永春段,13.19,都市：其他:市場用地,1,1,全筆移轉,07090000
RPWNMLKKRHPFFCT97DA,新埔段,2040.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02240000
RPTNMLOKPHPFFDT97DA,上烏龍段,282.96,非都市：河川區 ; 非都市編定：農牧用地,9720,4932,持分移轉,05390000
SPTNMLOKPHPFFDT08DA,上烏龍段,102.44,非都市：河川區 ; 非都市編定：農牧用地,9720,4932,持分移轉,05400000
RPUNMLOKPHPFFDT08DA,上烏龍段,960.89,非都市：河川區 ; 非都市編定：農牧用地,1,1,全筆移轉,05370000
RPWOMLOKPHPFFDT38DA,港西段,701.69,非都市：河川區 ; 非都市編定：農牧用地,6,2,持分移轉,09600000
RPXOMLOKPHPFFDT48DA,港西段,3277.19,非都市：河川區 ; 非都市編定：農牧用地,8,7,持分移轉,08460000
RPQNMLTLPHPFFDT28DA,港西段,790.73,非都市：河川區 ; 非都市編定：農牧用地,3,1,持分移轉,09650000
RPTPMLOKPHPFFDT18DA,港西段,114.83,非都市：河川區 ; 非都市編定：農牧用地,16,15,持分移轉,10150000
RPUPMLOKPHPFFDT28DA,港西段,2225.88,非都市：河川區 ; 非都市編定：農牧用地,2700,1817,持分移轉,09720000
RPRNMLKKQHPFFDT47DA,港西段,2827.03,非都市：河川區 ; 非都市編定：農牧用地,1,1,全筆移轉,09890000
RPOOMLTJRHPFFDT18DA,新洋段,992.00,非都市：一般農業區 ; 非都市編定：窯業用地,1,1,全筆移轉,04140002
RPQOMLTJRHPFFDT38DA,東港段,58.00,都市：其他:商業區,1,1,全筆移轉,06470094
