編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLMKIIPFFAV86DA,坡道機械,300000,,一樓
RPUNMLNKIIPFFAV27DA,一樓平面,0,,一樓
RPTNMLSLIIPFFAV77DA,其他,0,,
RPSOMLNJJIPFFAV17DA,其他,0,,一樓
RPPNMLKLIIPFFAV56DA,其他,0,,地下一樓
RPPPMLSJKIPFFAV57DA,其他,0,,一樓
RPXOMLSJKIPFFAV28DA,其他,0,,一樓
RPWOMLSJKIPFFAV18DA,其他,0,,一樓
RPTNMLRKJIPFFAV67DA,坡道機械,0,,地下一樓
RPOPMLSJKIPFFAV47DA,其他,0,,一樓
RPOOMLNJJIPFFAV76DA,其他,0,,一樓
RPQOMLNJJIPFFAV96DA,其他,0,,一樓
RPROMLNJJIPFFAV07DA,其他,0,,一樓
