鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
金沙鎮,土地,大山段1066地號,207.0,都市：其他:自然村專用區,,,1090817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,7729,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPVNMLRJRHPFFAW58DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),環島西路二段９０１巷１弄３８號三樓,54.1,都市：其他:自然村專用區,,,1090727,土地1建物2車位0,三層,三層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,1070919,114.85000000000001,3,1,4,有,無,5500000,47889,,0.0,0,,RPSNMLLLQHPFFAW77DA,86.82,0.0,8.55,無,
金寧鄉,土地,北二三劃測段639-58地號,952.93,都市：其他:道路用地,,,1090910,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32379880,33979,,0.0,0,含土地增值稅或其他稅費4525230元；,RPPNMLLKRHPFFAW57EA,0.0,0.0,0.0,無,
金城鎮,房地(土地+建物),環島西路一段２３９巷２弄２０號,500.53,都市：其他:農業區,,,1090617,土地4建物1車位0,全,三層,透天厝,集村農舍,鋼筋混凝土造,1040911,191.77,5,2,5,有,無,10600000,55275,,0.0,0,,RPQNMLRJPHPFFAW87DA,184.67,0.0,7.1,無,
金湖鎮,房地(土地+建物),塔后１８０號一樓之１,45.94,都市：其他:自然村專用區,,,1090819,土地1建物1車位0,一層,四層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090716,104.72999999999999,3,2,2,有,無,6380000,60919,,0.0,0,,RPRNMLLKRHPFFAW67DA,86.16,0.0,4.08,有,
金湖鎮,房地(土地+建物),塔后１８０號四樓之１,45.94,都市：其他:自然村專用區,,,1090819,土地1建物1車位0,四層,四層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090716,108.17999999999999,3,2,2,有,無,6500000,60085,,0.0,0,,RPSNMLLKRHPFFAW77DA,86.16,0.0,7.53,有,
金沙鎮,土地,沙碧劃段366地號,800.0,都市：其他:農業區,,,1090901,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,3125,,0.0,0,,RPSNMLOKRHPFFAW08DA,0.0,0.0,0.0,無,
金城鎮,建物,金門城８８之８號,0.0,,,,1090814,土地0建物1車位0,一層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090423,109.66,3,2,2,有,無,4166667,37996,,0.0,0,,RPQOMLSKQHPFFAW28DA,88.02,0.0,7.62,有,
金城鎮,建物,金門城８８之１０號四樓,0.0,,,,1090902,土地0建物1車位0,四層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090423,87.29,2,2,2,有,無,3353333,38416,,0.0,0,,RPPNMLOJRHPFFAW67DA,67.65,0.0,8.52,有,
金城鎮,建物,金門城８８之８號四樓,0.0,,,,1090902,土地0建物1車位0,四層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090423,110.17999999999999,3,2,2,有,無,4293333,38967,,0.0,0,,RPQNMLOJRHPFFAW77DA,88.52,0.0,7.64,有,
金寧鄉,房地(土地+建物),西山１８號四樓,31.03,非都市： ; 非都市編定：,,,1081030,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090529,90.48,3,2,2,有,無,4315000,47690,,0.0,0,,RPPNMLQKRHPFFAW08EA,65.39,0.0,8.03,有,
金湖鎮,房地(土地+建物),山外８５之５號,113.33,都市：其他:自然村專用區,,,1090904,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0740930,153.86,5,2,2,有,無,7500000,48746,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLQKRHPFFAW88EA,153.86,0.0,0.0,無,
金寧鄉,房地(土地+建物),西山１７號,32.38,都市：其他:,,,1080926,土地2建物1車位0,一層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090529,94.42,3,2,2,有,無,4550000,48189,,0.0,0,,RPQNMLQKRHPFFAW18EA,70.94,0.0,5.68,有,
金寧鄉,房地(土地+建物),西山１７號五樓,32.38,都市：其他:,,,1080716,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090529,94.42,3,2,2,有,無,4600000,48718,,0.0,0,,RPRNMLQKRHPFFAW28EA,70.94,0.0,5.68,有,
金寧鄉,房地(土地+建物),西山１８號三樓,31.03,都市：其他:,,,1081030,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090529,90.48,3,2,2,有,無,4315000,47690,,0.0,0,,RPSNMLQKRHPFFAW38EA,65.4,0.0,8.02,有,
