編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLMKIIPFFAX86DA,坡道平面,0,,地下一樓
RPXNMLMKIIPFFAX77EA,坡道平面,600000,23.30,地下一樓
RPQNMLPKIIPFFAX27DA,坡道平面,0,,地下二樓
RPRNMLSLIIPFFAX87EA,坡道平面,0,,地下二樓
RPTNMLSLIIPFFAX97DA,坡道平面,0,,地下一樓
RPTNMLPLRHPFFAX48DA,升降機械,0,,地下一樓
SPWNMLMJJIPFFAX67DA,坡道平面,0,19.96,一樓
RPUOMLKMIIPFFAX47DA,一樓平面,0,19.96,一樓
RPWNMLMJJIPFFAX57DA,一樓平面,0,19.96,一樓
RPRPMLKMIIPFFAX27DA,一樓平面,0,19.96,一樓
RPSPMLKMIIPFFAX37DA,一樓平面,0,20.38,一樓
RPVOMLKMIIPFFAX57DA,一樓平面,0,19.96,一樓
RPXPMLKMIIPFFAX87DA,一樓平面,0,19.96,一樓
RPXPMLKMIIPFFAX87DA,一樓平面,0,19.96,一樓
RPPQMLKMIIPFFAX17DA,一樓平面,0,19.96,一樓
RPPQMLKMIIPFFAX17DA,一樓平面,0,19.96,一樓
RPPQMLKMIIPFFAX17DA,一樓平面,0,19.96,一樓
RPXNMLPLJIPFFAX18DA,坡道平面,0,,地下一樓
